method	trait_arm	discovery_ancestry	disorder	threshold	phenotype	analysis	stratum	n	n_families	beta	se	p	chisq	df	n_thresholds	p_adj
CT	SCZ25_EUR	EUR	SCZ25EUR	5e-8	slope_PC1	pooled_stratumFE	all	8596	7198	0.007944459593326	0.0106215607378534	0.454508306110527			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p001	slope_PC1	within_stratum	EURanchor	4308	3601	0.0404856175627944	0.015069610430805	0.0072492586400491			8	0.0579940691203933
CT	SCZ25_EUR	EUR	SCZ25EUR	0p01	slope_PC1	within_stratum	EURanchor	4308	3601	0.0485069081057527	0.0150818356758683	0.0013093840023146			8	0.0104750720185171
CT	SCZ25_EUR	EUR	SCZ25EUR	0p05	slope_PC1	within_stratum	EURanchor	4308	3601	0.047110514562303	0.0151290413847912	0.0018595972164565			8	0.0148767777316525
CT	SCZ25_EUR	EUR	SCZ25EUR	0p1	slope_PC1	within_stratum	EURanchor	4308	3601	0.0489752745207871	0.0151641518022341	0.0012495602287264			8	0.0099964818298115
CT	SCZ25_EUR	EUR	SCZ25EUR	0p5	slope_PC1	within_stratum	EURanchor	4308	3601	0.0503450082294421	0.0152451743922839	0.0009674650988027			8	0.0077397207904219
CT	SCZ25_EUR	EUR	SCZ25EUR	1	slope_PC1	within_stratum	EURanchor	4308	3601	0.0504724911524431	0.0152456462182455	0.0009394407701018			8	0.0075155261608146
CT	SCZ25_EUR	EUR	SCZ25EUR	1e-5	slope_PC1	within_stratum	EURanchor	4308	3601	0.026379889523624	0.0150576805700658	0.0798643247393454			8	0.638914597914763
CT	SCZ25_EUR	EUR	SCZ25EUR	5e-8	slope_PC1	within_stratum	EURanchor	4308	3601	0.0149546857209911	0.0150568766572463	0.320666435970679			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p001	slope_PC1	within_stratum	EURlike	5665	4676	0.0307302970256222	0.0131621483159079	0.0195939554338298			8	0.156751643470638
