"label","region","view","x","y","group","subgroup"
"lh_AVI","AVI","lateral",173.517881759375,35.2027909375,1,1
"lh_AVI","AVI","lateral",173.456938196875,35.0083973125,1,1
"lh_AVI","AVI","lateral",173.394648728125,34.82091425,1,1
"lh_AVI","AVI","lateral",173.331013353125,34.64034175,1,1
"lh_AVI","AVI","lateral",173.341864946875,34.4622345,1,1
"lh_AVI","AVI","lateral",173.427203509375,34.2865925,1,1
"lh_AVI","AVI","lateral",173.587029040625,34.11341575,1,1
"lh_AVI","AVI","lateral",173.821341540625,33.94270425,1,1
"lh_AVI","AVI","lateral",174.056433071875,33.7704656875,1,1
"lh_AVI","AVI","lateral",174.292303634375,33.5967000625,1,1
"lh_AVI","AVI","lateral",174.528953228125,33.421407375,1,1
"lh_AVI","AVI","lateral",174.766381853125,33.244587625,1,1
"lh_AVI","AVI","lateral",174.926513884375,33.05673909375,1,1
"lh_AVI","AVI","lateral",175.009349321875,32.85786178125,1,1
"lh_AVI","AVI","lateral",175.014888165625,32.6479556875,1,1
"lh_AVI","AVI","lateral",174.943130415625,32.4270208125,1,1
"lh_AVI","AVI","lateral",174.817857915625,32.26152671875,1,1
"lh_AVI","AVI","lateral",174.639070665625,32.15147340625,1,1
"lh_AVI","AVI","lateral",174.406768665625,32.096860875,1,1
"lh_AVI","AVI","lateral",174.120951915625,32.097689125,1,1
"lh_AVI","AVI","lateral",173.839069571875,32.0951400625,1,1
"lh_AVI","AVI","lateral",173.561121634375,32.0892136875,1,1
"lh_AVI","AVI","lateral",173.287108103125,32.07991,1,1
"lh_AVI","AVI","lateral",173.017028978125,32.067229,1,1
"lh_AVI","AVI","lateral",172.789306228125,32.0128798125,1,1
"lh_AVI","AVI","lateral",172.603939853125,31.9168624375,1,1
"lh_AVI","AVI","lateral",172.460929853125,31.779176875,1,1
"lh_AVI","AVI","lateral",172.360276228125,31.599823125,1,1
"lh_AVI","AVI","lateral",172.266038446875,31.42096253125,1,1
"lh_AVI","AVI","lateral",172.178216509375,31.24259509375,1,1
"lh_AVI","AVI","lateral",172.096810415625,31.0647208125,1,1
"lh_AVI","AVI","lateral",172.021820165625,30.8873396875,1,1
"lh_AVI","AVI","lateral",171.944187415625,30.707732125,1,1
"lh_AVI","AVI","lateral",171.863912165625,30.525898125,1,1
"lh_AVI","AVI","lateral",171.780994415625,30.3418376875,1,1
"lh_AVI","AVI","lateral",171.695434165625,30.1555508125,1,1
"lh_AVI","AVI","lateral",171.647421353125,29.9852275625,1,1
"lh_AVI","AVI","lateral",171.636955978125,29.8308679375,1,1
"lh_AVI","AVI","lateral",171.664038040625,29.6924719375,1,1
"lh_AVI","AVI","lateral",171.728667540625,29.5700395625,1,1
"lh_AVI","AVI","lateral",171.746298196875,29.4631518125,1,1
"lh_AVI","AVI","lateral",171.716930009375,29.3718086875,1,1
"lh_AVI","AVI","lateral",171.640562978125,29.2960101875,1,1
"lh_AVI","AVI","lateral",171.517197103125,29.2357563125,1,1
"lh_AVI","AVI","lateral",171.342459915625,29.19428546875,1,1
"lh_AVI","AVI","lateral",171.116351415625,29.17159765625,1,1
"lh_AVI","AVI","lateral",170.838871603125,29.167692875,1,1
"lh_AVI","AVI","lateral",170.510020478125,29.182571125,1,1
"lh_AVI","AVI","lateral",170.205442946875,29.2388241875,1,1
"lh_AVI","AVI","lateral",169.925139009375,29.3364520625,1,1
"lh_AVI","AVI","lateral",169.669108665625,29.47545475,1,1
"lh_AVI","AVI","lateral",169.437351915625,29.65583225,1,1
"lh_AVI","AVI","lateral",169.209958103125,29.8362801875,1,1
"lh_AVI","AVI","lateral",168.986927228125,30.0167985625,1,1
"lh_AVI","AVI","lateral",168.768259290625,30.197387375,1,1
"lh_AVI","AVI","lateral",168.553954290625,30.378046625,1,1
"lh_AVI","AVI","lateral",168.337626696875,30.557568625,1,1
"lh_AVI","AVI","lateral",168.119276509375,30.735953375,1,1
"lh_AVI","AVI","lateral",167.898903728125,30.913200875,1,1
"lh_AVI","AVI","lateral",167.676508353125,31.089311125,1,1
"lh_AVI","AVI","lateral",167.463902196875,31.26319740625,1,1
"lh_AVI","AVI","lateral",167.261085259375,31.43485971875,1,1
"lh_AVI","AVI","lateral",167.068057540625,31.6042980625,1,1
"lh_AVI","AVI","lateral",166.884819040625,31.7715124375,1,1
"lh_AVI","AVI","lateral",166.667177946875,31.89903953125,1,1
"lh_AVI","AVI","lateral",166.415134259375,31.98687934375,1,1
