method	trait_arm	score	disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
SBayesR	SCZ25_META	raw	SCZ25META	sbr	baseline_thickness	full	8596	7198	1350	1449	0.0293963121371743	0.032637305584937	0.367897001127011	0.0062111041435709	0.0138186042420139	0.653103078542148	-0.0231852079936033	0.0353123063012989	-0.656575863263582	0.511453672932369
SBayesR	SCZ25_META	raw	SCZ25META	sbr	global_slope	EUR	4308	3601	691	726	-0.0324181309276829	0.0452699187218458	0.474146670971859	-0.0325099381674909	0.015352197639959	0.0342783900319105	-9.18072398080477e-05	0.0478322762980998	-0.0019193575324721	0.998468575198458
SBayesR	SCZ25_META	raw	SCZ25META	sbr	global_slope	full	8596	7198	1350	1449	0.0263384365581262	0.0377799545661161	0.48580878382942	-0.0338069754886592	0.0130652423336805	0.009685535931005	-0.0601454120467854	0.0398715370206272	-1.50847989671604	0.131431748052917
SBayesR	SCZ25_META	raw	SCZ25META	sbr	slope_PC1	EUR	4308	3601	691	726	0.0271589357248557	0.0515942057687059	0.598769091953658	-0.0293260894776028	0.0159422090510988	0.065925259743885	-0.0564850252024585	0.0540293321886798	-1.04545110802412	0.295814526183316
SBayesR	SCZ25_META	raw	SCZ25META	sbr	slope_PC1	full	8596	7198	1350	1449	0.0567582580479667	0.0413030428465512	0.169573996824052	-0.035370517209761	0.0136039675510303	0.0093412553904802	-0.0921287752577277	0.0433821883770571	-2.1236544006722	0.033699053001349
SBayesR	SCZ25_META	raw	SCZ25META	sbr	slope_PC2	EUR	4308	3601	691	726	-0.0243280331629019	0.0491813608992559	0.62098458237025	0.0086176592342703	0.0163724028152953	0.598676559648156	0.0329456923971722	0.0518663737535212	0.635203312144713	0.52529582335591
SBayesR	SCZ25_META	raw	SCZ25META	sbr	slope_PC2	full	8596	7198	1350	1449	-0.037174909930284	0.041011511842953	0.364832472945875	0.011236169579803	0.0138255281805594	0.416410314735161	0.048411079510087	0.043171799153645	1.12135886062556	0.262135140136422
SBayesR	SCZ25_META	raw	SCZ25META	sbr	slope_PC3	EUR	4308	3601	691	726	-0.0661903831567538	0.0450444546693336	0.142155969473471	-0.0186677214721942	0.0164470228510783	0.25644376077174	0.0475226616845596	0.0479876830538369	0.990309568212419	0.322022831239912
SBayesR	SCZ25_META	raw	SCZ25META	sbr	slope_PC3	full	8596	7198	1350	1449	-0.0114278604624936	0.03921301063252	0.770760059277099	-0.0014476711578544	0.0137516463918931	0.91616245103616	0.0099801893046391	0.0414438455499233	0.240812337084334	0.809700567356112
SBayesR	SCZ25_META	zanc	SCZ25META	sbr	baseline_thickness	EUR	4308	3601	691	726	0.039960544020649	0.0387109470520784	0.302271922241528	0.0118154949162982	0.0166930942678075	0.479110454698379	-0.0281450491043508	0.0421969798544851	-0.666992026476969	0.504777226555226
SBayesR	SCZ25_META	zanc	SCZ25META	sbr	baseline_thickness	full	8596	7198	1350	1449	0.0295249156702368	0.0276742666010327	0.286204435519079	0.0015179707433321	0.0116000632328664	0.895890625691248	-0.0280069449269047	0.0299618028003577	-0.934754998339766	0.349914576143347
SBayesR	SCZ25_META	zanc	SCZ25META	sbr	global_slope	EUR	4308	3601	691	726	-0.0324181347133909	0.0452699189846392	0.474146621936553	-0.0325099432429542	0.0153521976158503	0.0342783617074041	-9.18085295633017e-05	0.0478322765323682	-0.0019193844871919	0.998468553691742
SBayesR	SCZ25_META	zanc	SCZ25META	sbr	global_slope	full	8596	7198	1350	1449	0.0209667498587161	0.0320397015629325	0.512949668842196	-0.0285217378827954	0.0109554974831211	0.0092491228434505	-0.0494884877415115	0.0338245497752581	-1.46309376090236	0.143441724845981
SBayesR	SCZ25_META	zanc	SCZ25META	sbr	slope_PC1	EUR	4308	3601	691	726	0.0271589340406272	0.0515942060595251	0.59876911667927	-0.0293260910556309	0.0159422090331526	0.0659252448901449	-0.0564850250962582	0.0540293324546794	-1.0454511009115	0.295814529469065
SBayesR	SCZ25_META	zanc	SCZ25META	sbr	slope_PC1	full	8596	7198	1350	1449	0.0481924466194578	0.0350271900655059	0.169057179098489	-0.0297485021450935	0.0114037762118155	0.0091091865263576	-0.0779409487645513	0.0368004529301529	-2.11793449696075	0.0341806155464052
SBayesR	SCZ25_META	zanc	SCZ25META	sbr	slope_PC2	EUR	4308	3601	691	726	-0.0243280565246961	0.0491813611696123	0.620984249088064	0.0086176578146554	0.0163724027940556	0.598676619400882	0.0329457143393515	0.0518663739961469	0.635203732225412	0.525295549414645
