method	trait_arm	discovery_ancestry	target_stratum	design	score	discovery_gwas	phenotype	threshold	n	n_families	n_snps	beta	se	p	p_adj
SBayesR	SCZ25_EUR	EUR	full	confounded	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	slope_PC1	sbr	8596	7198	1076468.0	-0.0803175986772381	0.024388667015967	0.0009946842729621	0.0009946842729621
SBayesR	SCZ25_EUR	EUR	full	confounded	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	slope_PC2	sbr	8596	7198	1076468.0	0.0340029322557029	0.0247427815810366	0.169399844095718	0.169399844095718
SBayesR	SCZ25_EUR	EUR	full	confounded	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	baseline_thickness	sbr	8596	7198	1076468.0	0.0204000716788122	0.024130659109816	0.397910938620833	0.397910938620833
SBayesR	SCZ25_EUR	EUR	full	confounded	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	slope_PC3	sbr	8596	7198	1076468.0	0.0010802606757609	0.0245266741634052	0.964870142731117	0.964870142731117
SBayesR	SCZ25_EUR	EUR	EUR	primary	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	global_slope	sbr	4308	3601	1076468.0	-0.0422156160096757	0.0146712751745636	0.0040300150599348	0.0040300150599348
SBayesR	SCZ25_EUR	EUR	EUR	primary	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	slope_PC1	sbr	4308	3601	1076468.0	-0.0382626430643155	0.0153573257555326	0.0127617742307062	0.0127617742307062
SBayesR	SCZ25_EUR	EUR	EUR	primary	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	baseline_thickness	sbr	4308	3601	1076468.0	0.0200974874724884	0.0155064136130183	0.195019181985967	0.195019181985967
SBayesR	SCZ25_EUR	EUR	EUR	primary	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	slope_PC2	sbr	4308	3601	1076468.0	0.0199005759841666	0.015677039045266	0.204367908131282	0.204367908131282
SBayesR	SCZ25_EUR	EUR	EUR	primary	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	slope_PC3	sbr	4308	3601	1076468.0	-0.014453528022286	0.0156101938763662	0.354549920248124	0.354549920248124
SBayesR	SCZ25_EUR	EUR	full	confounded	zanc	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	global_slope	sbr	8596	7198	1076468.0	-0.0334039698239011	0.0105312621265045	0.0015201720447688	0.0015201720447688
SBayesR	SCZ25_EUR	EUR	full	confounded	zanc	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	slope_PC1	sbr	8596	7198	1076468.0	-0.0302219630707628	0.0110079389311288	0.0060559872997399	0.0060559872997399
SBayesR	SCZ25_EUR	EUR	full	confounded	zanc	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	baseline_thickness	sbr	8596	7198	1076468.0	0.017402149700258	0.0109253248336442	0.111236388785513	0.111236388785513
SBayesR	SCZ25_EUR	EUR	full	confounded	zanc	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	slope_PC2	sbr	8596	7198	1076468.0	0.0113050527863805	0.0111685357019993	0.311461716393802	0.311461716393802
