method	trait_arm	discovery_ancestry	disorder	threshold	phenotype	analysis	stratum	n	n_families	beta	se	p	chisq	df	n_thresholds	p_adj
CT	SCZ25_EUR	EUR	SCZ25EUR	0p01	slope_PC1	pooled_stratumFE	all	8596	7198	-0.039446324412144	0.0110517003366842	0.0003600630959499			8	0.0028805047675997
CT	SCZ25_EUR	EUR	SCZ25EUR	0p05	slope_PC1	pooled_stratumFE	all	8596	7198	-0.0367277151500312	0.0114457996047598	0.0013378961205145			8	0.010703168964116
CT	SCZ25_EUR	EUR	SCZ25EUR	0p1	slope_PC1	pooled_stratumFE	all	8596	7198	-0.0446408001586328	0.0116363100551455	0.0001258280464328			8	0.0010066243714627
CT	SCZ25_EUR	EUR	SCZ25EUR	0p5	slope_PC1	pooled_stratumFE	all	8596	7198	-0.0463063625200336	0.011877331825481	9.74891475260519e-05			8	0.0007799131802084
CT	SCZ25_EUR	EUR	SCZ25EUR	1	slope_PC1	pooled_stratumFE	all	8596	7198	-0.0474378108587849	0.0118842895153617	6.6201335737633e-05			8	0.000529610685901
CT	SCZ25_EUR	EUR	SCZ25EUR	1e-5	slope_PC1	pooled_stratumFE	all	8596	7198	-0.0320729503268278	0.0108387734836819	0.0030943110506077			8	0.0247544884048622
CT	SCZ25_EUR	EUR	SCZ25EUR	5e-8	slope_PC1	pooled_stratumFE	all	8596	7198	-0.0200659491149149	0.0107817445568336	0.0627652467758322			8	0.502121974206658
CT	SCZ25_EUR	EUR	SCZ25EUR	0p001	slope_PC1	within_stratum	EURanchor	4308	3601	-0.0425305246216046	0.0152637817534438	0.0053558432583209			8	0.0428467460665673
CT	SCZ25_EUR	EUR	SCZ25EUR	0p01	slope_PC1	within_stratum	EURanchor	4308	3601	-0.051147610243971	0.0152753291875762	0.0008205757353573			8	0.0065646058828591
CT	SCZ25_EUR	EUR	SCZ25EUR	0p05	slope_PC1	within_stratum	EURanchor	4308	3601	-0.0479972289915494	0.0153237795992073	0.0017478507892631			8	0.013982806314105
CT	SCZ25_EUR	EUR	SCZ25EUR	0p1	slope_PC1	within_stratum	EURanchor	4308	3601	-0.0543438155486606	0.0153557628552925	0.0004063541073099			8	0.0032508328584799
CT	SCZ25_EUR	EUR	SCZ25EUR	0p5	slope_PC1	within_stratum	EURanchor	4308	3601	-0.0597280767409422	0.0154341387923528	0.0001106944504934			8	0.0008855556039474
CT	SCZ25_EUR	EUR	SCZ25EUR	1	slope_PC1	within_stratum	EURanchor	4308	3601	-0.0597853746506757	0.0154345029297729	0.0001090689553299			8	0.0008725516426396
CT	SCZ25_EUR	EUR	SCZ25EUR	1e-5	slope_PC1	within_stratum	EURanchor	4308	3601	-0.0367711566628122	0.0152476340865075	0.0159280201354977			8	0.127424161083982
CT	SCZ25_EUR	EUR	SCZ25EUR	5e-8	slope_PC1	within_stratum	EURanchor	4308	3601	-0.0249930178639017	0.0152489341365908	0.101292150450218			8	0.81033720360174
CT	SCZ25_EUR	EUR	SCZ25EUR	0p001	slope_PC1	within_stratum	EURlike	5665	4676	-0.040155682353521	0.01335419197418	0.0026511113037428			8	0.0212088904299424
