phenotype,x_lo,x_hi,y_lo,y_hi,count
global,-0.021343349437634388,-0.021122761559598673,-0.020847028136084196,-0.020484071559765643,4
global,-0.021343349437634388,-0.021122761559598673,-0.020484071559765643,-0.020121114983447097,1
global,-0.021343349437634388,-0.021122761559598673,-0.01975815840712855,-0.019395201830809998,1
global,-0.021122761559598673,-0.020902173681562962,-0.025202507051906773,-0.024839550475588223,1
global,-0.021122761559598673,-0.020902173681562962,-0.024476593899269677,-0.024113637322951128,1
global,-0.021122761559598673,-0.020902173681562962,-0.02375068074663258,-0.023387724170314032,2
global,-0.021122761559598673,-0.020902173681562962,-0.023387724170314032,-0.023024767593995483,6
global,-0.021122761559598673,-0.020902173681562962,-0.023024767593995483,-0.022661811017676933,7
global,-0.021122761559598673,-0.020902173681562962,-0.022661811017676933,-0.022298854441358387,15
global,-0.021122761559598673,-0.020902173681562962,-0.022298854441358387,-0.021935897865039838,18
global,-0.021122761559598673,-0.020902173681562962,-0.021935897865039838,-0.021572941288721288,17
global,-0.021122761559598673,-0.020902173681562962,-0.021572941288721288,-0.021209984712402742,13
global,-0.021122761559598673,-0.020902173681562962,-0.021209984712402742,-0.020847028136084196,12
global,-0.021122761559598673,-0.020902173681562962,-0.020847028136084196,-0.020484071559765643,8
global,-0.021122761559598673,-0.020902173681562962,-0.020484071559765643,-0.020121114983447097,3
global,-0.021122761559598673,-0.020902173681562962,-0.020121114983447097,-0.01975815840712855,1
global,-0.021122761559598673,-0.020902173681562962,-0.01975815840712855,-0.019395201830809998,1
global,-0.021122761559598673,-0.020902173681562962,-0.019395201830809998,-0.019032245254491452,1
global,-0.021122761559598673,-0.020902173681562962,-0.019032245254491452,-0.018669288678172906,1
global,-0.021122761559598673,-0.020902173681562962,-0.018669288678172906,-0.018306332101854353,1
global,-0.020902173681562962,-0.020681585803527247,-0.024113637322951128,-0.02375068074663258,1
global,-0.020902173681562962,-0.020681585803527247,-0.02375068074663258,-0.023387724170314032,3
global,-0.020902173681562962,-0.020681585803527247,-0.023387724170314032,-0.023024767593995483,4
global,-0.020902173681562962,-0.020681585803527247,-0.023024767593995483,-0.022661811017676933,10
global,-0.020902173681562962,-0.020681585803527247,-0.022661811017676933,-0.022298854441358387,17
global,-0.020902173681562962,-0.020681585803527247,-0.022298854441358387,-0.021935897865039838,21
global,-0.020902173681562962,-0.020681585803527247,-0.021935897865039838,-0.021572941288721288,25
global,-0.020902173681562962,-0.020681585803527247,-0.021572941288721288,-0.021209984712402742,19
global,-0.020902173681562962,-0.020681585803527247,-0.021209984712402742,-0.020847028136084196,14
global,-0.020902173681562962,-0.020681585803527247,-0.020847028136084196,-0.020484071559765643,9
global,-0.020902173681562962,-0.020681585803527247,-0.020484071559765643,-0.020121114983447097,11
global,-0.020902173681562962,-0.020681585803527247,-0.020121114983447097,-0.01975815840712855,4
global,-0.020902173681562962,-0.020681585803527247,-0.01975815840712855,-0.019395201830809998,2
global,-0.020902173681562962,-0.020681585803527247,-0.019395201830809998,-0.019032245254491452,3
global,-0.020902173681562962,-0.020681585803527247,-0.019032245254491452,-0.018669288678172906,1
global,-0.020681585803527247,-0.020460997925491532,-0.02375068074663258,-0.023387724170314032,2
global,-0.020681585803527247,-0.020460997925491532,-0.023387724170314032,-0.023024767593995483,4
global,-0.020681585803527247,-0.020460997925491532,-0.023024767593995483,-0.022661811017676933,5
global,-0.020681585803527247,-0.020460997925491532,-0.022661811017676933,-0.022298854441358387,17
global,-0.020681585803527247,-0.020460997925491532,-0.022298854441358387,-0.021935897865039838,17
global,-0.020681585803527247,-0.020460997925491532,-0.021935897865039838,-0.021572941288721288,31
global,-0.020681585803527247,-0.020460997925491532,-0.021572941288721288,-0.021209984712402742,25
global,-0.020681585803527247,-0.020460997925491532,-0.021209984712402742,-0.020847028136084196,41
global,-0.020681585803527247,-0.020460997925491532,-0.020847028136084196,-0.020484071559765643,22
global,-0.020681585803527247,-0.020460997925491532,-0.020484071559765643,-0.020121114983447097,16
global,-0.020681585803527247,-0.020460997925491532,-0.020121114983447097,-0.01975815840712855,14
global,-0.020681585803527247,-0.020460997925491532,-0.01975815840712855,-0.019395201830809998,9
global,-0.020681585803527247,-0.020460997925491532,-0.019395201830809998,-0.019032245254491452,3
global,-0.020681585803527247,-0.020460997925491532,-0.019032245254491452,-0.018669288678172906,2
global,-0.020681585803527247,-0.020460997925491532,-0.018669288678172906,-0.018306332101854353,1
global,-0.020460997925491532,-0.02024041004745582,-0.02375068074663258,-0.023387724170314032,1
global,-0.020460997925491532,-0.02024041004745582,-0.023387724170314032,-0.023024767593995483,1
global,-0.020460997925491532,-0.02024041004745582,-0.023024767593995483,-0.022661811017676933,3
global,-0.020460997925491532,-0.02024041004745582,-0.022661811017676933,-0.022298854441358387,10
global,-0.020460997925491532,-0.02024041004745582,-0.022298854441358387,-0.021935897865039838,15
global,-0.020460997925491532,-0.02024041004745582,-0.021935897865039838,-0.021572941288721288,33
global,-0.020460997925491532,-0.02024041004745582,-0.021572941288721288,-0.021209984712402742,32
global,-0.020460997925491532,-0.02024041004745582,-0.021209984712402742,-0.020847028136084196,37
global,-0.020460997925491532,-0.02024041004745582,-0.020847028136084196,-0.020484071559765643,42
global,-0.020460997925491532,-0.02024041004745582,-0.020484071559765643,-0.020121114983447097,34
global,-0.020460997925491532,-0.02024041004745582,-0.020121114983447097,-0.01975815840712855,27
global,-0.020460997925491532,-0.02024041004745582,-0.01975815840712855,-0.019395201830809998,11
global,-0.020460997925491532,-0.02024041004745582,-0.019395201830809998,-0.019032245254491452,13
global,-0.020460997925491532,-0.02024041004745582,-0.019032245254491452,-0.018669288678172906,2
global,-0.02024041004745582,-0.020019822169420106,-0.023387724170314032,-0.023024767593995483,4
global,-0.02024041004745582,-0.020019822169420106,-0.023024767593995483,-0.022661811017676933,2
global,-0.02024041004745582,-0.020019822169420106,-0.022661811017676933,-0.022298854441358387,6
