kind	disorder_result	phenotype	variable	type	n_genes	beta	beta_std	se	p	file
gene-set conditional on PGC3pool	gene sets	slope_PC3	PGC3_locus_pool	SET	858	-0.073299	-0.015507	0.051247	0.92368	slope_PC3_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC3	SCZ25_genesig	SET	777	-0.033083	-0.0066759	0.048297	0.75332	slope_PC3_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC3	PGC3_locus_pool	SET	858	-0.090807	-0.019211	0.047104	0.97305	slope_PC3_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC3	SCZ25_genesig_new	SET	214	0.023001	0.0024748	0.06263	0.35672	slope_PC3_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC3	PGC3_locus_pool	SET	858	-0.11925	-0.025228	0.064103	0.96857	slope_PC3_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC3	SCZ25_locus_pool	SET	1103	0.040275	0.0095925	0.056956	0.23975	slope_PC3_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC3	PGC3_locus_pool	SET	858	-0.079597	-0.016839	0.046802	0.95549	slope_PC3_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC3	SCZ25_locus_pool_new	SET	302	0.09906	0.01263	0.062328	0.056004	slope_PC3_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC3	PGC3_locus_pool	SET	858	-0.085224	-0.01803	0.054465	0.94117	slope_PC3_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC3	SCZ_locus_pool	SET	455	-0.005985	-0.00093266	0.060039	0.5397	slope_PC3_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC3	PGC3_locus_pool	SET	858	-0.095865	-0.020281	0.050463	0.97126	slope_PC3_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC3	SCZ_pool_not_prio	SET	354	0.024899	0.0034321	0.062433	0.34502	slope_PC3_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC3	PGC3_locus_pool	SET	858	-0.089192	-0.018869	0.049094	0.96536	slope_PC3_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC3	SCZ_prio_finemap	SET	61	0.0086027	0.00049625	0.1186	0.47109	slope_PC3_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC3	PGC3_locus_pool	SET	858	-0.091954	-0.019454	0.046849	0.97515	slope_PC3_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC3	SCZ_prio_rare	SET	7	0.26311	0.0051491	0.38364	0.24642	slope_PC3_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC3	PGC3_locus_pool	SET	858	-0.082858	-0.017529	0.046667	0.96208	slope_PC3_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC3	SCZ_prio_smr	SET	44	-0.177	-0.0086756	0.13458	0.90577	slope_PC3_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC3	PGC3_locus_pool	SET	858	-0.076827	-0.016253	0.048819	0.94221	slope_PC3_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC3	SCZ_prioritised	SET	101	-0.070855	-0.0052536	0.093828	0.77492	slope_PC3_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC3	PGC3_locus_pool	SET	858	-0.076827	-0.016253	0.048819	0.94221	slope_PC3_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC3	SCZ_prioritised_pc	SET	101	-0.070855	-0.0052536	0.093828	0.77492	slope_PC3_sets_condPGC3pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC3	SCZ_locus_pool	SET	455	-0.024586	-0.0038314	0.054588	0.67379	slope_PC3_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC3	PGC3_genesig	SET	704	-0.085319	-0.016422	0.052831	0.94683	slope_PC3_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC3	SCZ_locus_pool	SET	455	-0.005985	-0.00093266	0.060039	0.5397	slope_PC3_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC3	PGC3_locus_pool	SET	858	-0.085224	-0.01803	0.054465	0.94117	slope_PC3_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC3	SCZ_locus_pool	SET	455	-0.034738	-0.0054134	0.054291	0.73886	slope_PC3_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC3	SCZ25_genesig	SET	777	-0.052334	-0.010561	0.046416	0.87023	slope_PC3_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC3	SCZ_locus_pool	SET	455	-0.055841	-0.0087019	0.051553	0.86063	slope_PC3_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC3	SCZ25_genesig_new	SET	214	0.010863	0.0011688	0.062182	0.43066	slope_PC3_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC3	SCZ_locus_pool	SET	455	-0.045966	-0.0071631	0.056991	0.79003	slope_PC3_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC3	SCZ25_locus_pool	SET	1103	-0.016469	-0.0039225	0.045936	0.64002	slope_PC3_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC3	SCZ_locus_pool	SET	455	-0.058656	-0.0091405	0.051301	0.87355	slope_PC3_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC3	SCZ25_locus_pool_new	SET	302	0.11393	0.014527	0.061977	0.033017	slope_PC3_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC3	SCZ_locus_pool	SET	455	-0.12151	-0.018935	0.090033	0.91142	slope_PC3_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC3	SCZ_pool_not_prio	SET	354	0.090952	0.012537	0.10105	0.18405	slope_PC3_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC3	SCZ_locus_pool	SET	455	-0.053253	-0.0082986	0.057396	0.82324	slope_PC3_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC3	SCZ_prio_finemap	SET	61	-0.0079882	-0.00046081	0.12578	0.52532	slope_PC3_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC3	SCZ_locus_pool	SET	455	-0.059112	-0.0092116	0.051743	0.87335	slope_PC3_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC3	SCZ_prio_rare	SET	7	0.23117	0.0045241	0.38439	0.27379	slope_PC3_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC3	SCZ_locus_pool	SET	455	-0.039857	-0.006211	0.052632	0.77555	slope_PC3_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC3	SCZ_prio_smr	SET	44	-0.17359	-0.0085084	0.13769	0.89628	slope_PC3_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC3	SCZ_locus_pool	SET	455	-0.030558	-0.0047619	0.057957	0.70099	slope_PC3_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC3	SCZ_prioritised	SET	101	-0.090952	-0.0067437	0.10105	0.81595	slope_PC3_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC3	SCZ_locus_pool	SET	455	-0.030558	-0.0047619	0.057957	0.70099	slope_PC3_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC3	SCZ_prioritised_pc	SET	101	-0.090952	-0.0067437	0.10105	0.81595	slope_PC3_sets_condST12pool.gsa.out
