readout	phenotype	arm	method	estimate	se	p	n	legacy_estimate	legacy_se	legacy_p	legacy_n	legacy_note
PRS ALZ_noAPOE -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	SBayesRC	0.005741	0.015336	0.70816	4308	0.00082013	0.015715	0.95838	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ALZ_noAPOE -> EUR (beta SD/SD, p_adj)	global_slope	EUR	CT	-0.035347	0.01446	0.11638	4308	-0.043653	0.014976	0.028628	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ALZ_noAPOE -> EUR (beta SD/SD, p_adj)	global_slope	EUR	PRSCS	-0.024332	0.01444	0.092046	4308	-0.01528	0.015032	0.30944	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ALZ_noAPOE -> EUR (beta SD/SD, p_adj)	global_slope	EUR	SBayesR	-0.02864	0.014435	0.047311	4308	-0.012947	0.015012	0.38849	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ALZ_noAPOE -> EUR (beta SD/SD, p_adj)	global_slope	EUR	SBayesRC	-0.016827	0.014439	0.24392	4308	-0.001225	0.014993	0.93489	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ASD -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	CT	-0.042453	0.015256	0.04331	4308	-0.051692	0.017765	0.029095	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ASD -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	PRSCS	-0.040256	0.015373	0.0088593	4308	-0.044377	0.015926	0.0053541	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ASD -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	SBayesR	-0.011571	0.01534	0.45072	4308	-0.016393	0.015706	0.29664	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ASD -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	SBayesRC	-0.012785	0.015276	0.40269	4308	-0.018106	0.015751	0.25041	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ASD -> EUR (beta SD/SD, p_adj)	global_slope	EUR	CT	0.03375	0.014407	0.15356	4308	0.029584	0.017002	0.65538	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ASD -> EUR (beta SD/SD, p_adj)	global_slope	EUR	PRSCS	0.023035	0.014482	0.11178	4308	0.015981	0.015219	0.29375	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ASD -> EUR (beta SD/SD, p_adj)	global_slope	EUR	SBayesR	0.0047011	0.014472	0.74531	4308	-0.0041689	0.015025	0.78144	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ASD -> EUR (beta SD/SD, p_adj)	global_slope	EUR	SBayesRC	0.011838	0.014429	0.41203	4308	-0.0031753	0.015085	0.83329	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS C+T min-p permutation ALZ (legacy design)	baseline_thickness	EUR	CT	0.25337			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ (legacy design)	baseline_thickness	full	CT	0.34783			8596					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ (legacy design)	global_slope	EUR	CT	0.027486			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
