sample	outcome	score	adjust	beta	se	p	n	y_sd_beta
>=3 scans	withdep	pls2_beyond_grad	+global	-0.0023982	0.0071474	0.73722	6388	-0.003666
>=3 scans	withdep	pls2_beyond_grad	+global+CT	-0.0013817	0.0075247	0.85431	6388	-0.0021121
>=3 scans	withdep	pls2_beyond_grad	+global+CT+QC	-0.0016217	0.0075228	0.82933	6388	-0.0024789
>=3 scans	withdep	ct_grad_slope	base	-0.00030234	0.0077559	0.9689	6388	-0.00046216
>=3 scans	withdep	ct_grad_slope	+global	-0.0049103	0.007946	0.5366	6388	-0.0075059
>=3 scans	withdep	glob_thin	base	0.02111	0.0078937	0.0074891	6388	0.032269
>=3 scans	rulebreak	grad_slope	base	0.0062433	0.0065982	0.34404	6386	0.010176
>=3 scans	rulebreak	grad_slope	+global	-0.00044084	0.0069451	0.94939	6386	-0.00071853
>=3 scans	rulebreak	grad_slope	+global+CT	0.0024788	0.0071106	0.72739	6386	0.0040402
>=3 scans	rulebreak	grad_slope	+global+CT+QC	0.0026288	0.0071507	0.71315	6386	0.0042847
>=3 scans	rulebreak	grad_fit	base	-0.021281	0.0078088	0.0064255	6386	-0.034686
>=3 scans	rulebreak	grad_fit	+global	-0.028605	0.0080326	0.0003692	6386	-0.046625
>=3 scans	rulebreak	grad_fit	+global+CT	-0.029771	0.008084	0.00023074	6386	-0.048525
>=3 scans	rulebreak	grad_fit	+global+CT+QC	-0.031352	0.008264	0.00014834	6386	-0.051102
>=3 scans	rulebreak	pls2_beyond_grad	base	0.0012376	0.0066395	0.85213	6386	0.0020173
>=3 scans	rulebreak	pls2_beyond_grad	+global	0.0024386	0.0066436	0.71357	6386	0.0039747
>=3 scans	rulebreak	pls2_beyond_grad	+global+CT	0.0016404	0.0069171	0.81254	6386	0.0026737
>=3 scans	rulebreak	pls2_beyond_grad	+global+CT+QC	0.0016253	0.0069164	0.81421	6386	0.0026491
>=3 scans	rulebreak	ct_grad_slope	base	-0.0023061	0.0072087	0.74904	6386	-0.0037588
