outcome	brain	adj_global	model	beta	se	p	n	n_cases	y_sd_beta	source
rulebreak	pls2_proj	True	change	0.0016665	0.006048	0.78289	8182		0.0026632	7.0 p/mh_p_cbcl.tsv
rulebreak	pls2_proj	True	trajectory	0.00088638	0.001139	0.43645	8553		0.0083598	7.0 p/mh_p_cbcl.tsv
aggressive	pls2_proj	True	base	0.004861	0.0096737	0.61532	8715		0.0054185	7.0 p/mh_p_cbcl.tsv
aggressive	pls2_proj	True	y3	-0.0080037	0.0097815	0.41321	8069		-0.0091674	7.0 p/mh_p_cbcl.tsv
aggressive	pls2_proj	True	late	-0.0056578	0.0085071	0.50601	8193		-0.007474	7.0 p/mh_p_cbcl.tsv
aggressive	pls2_proj	True	change	-0.0079177	0.0068174	0.24548	8192		-0.010459	7.0 p/mh_p_cbcl.tsv
aggressive	pls2_proj	True	trajectory	-0.00044544	0.0013252	0.73677	8554		-0.0035345	7.0 p/mh_p_cbcl.tsv
totprob	pls2_proj	True	base	0.0030974	0.011107	0.78034	8715		0.0030136	7.0 p/mh_p_cbcl.tsv
totprob	pls2_proj	True	y3	-0.015213	0.012157	0.21081	8069		-0.013959	7.0 p/mh_p_cbcl.tsv
totprob	pls2_proj	True	late	-0.01699	0.011856	0.15186	8188		-0.015843	7.0 p/mh_p_cbcl.tsv
totprob	pls2_proj	True	change	-0.017839	0.0092179	0.052951	8187		-0.016635	7.0 p/mh_p_cbcl.tsv
totprob	pls2_proj	True	trajectory	-0.0015334	0.0016309	0.3471	8553		-0.0097827	7.0 p/mh_p_cbcl.tsv
internal	pls2_proj	True	base	0.0028631	0.0098055	0.77029	8715		0.0031766	7.0 p/mh_p_cbcl.tsv
internal	pls2_proj	True	y3	-0.011945	0.01043	0.2521	8069		-0.012706	7.0 p/mh_p_cbcl.tsv
internal	pls2_proj	True	late	-0.01662	0.0096021	0.083484	8190		-0.018578	7.0 p/mh_p_cbcl.tsv
internal	pls2_proj	True	change	-0.017506	0.0080434	0.029526	8189		-0.019568	7.0 p/mh_p_cbcl.tsv
internal	pls2_proj	True	trajectory	-0.0013843	0.0014547	0.34133	8554		-0.0097522	7.0 p/mh_p_cbcl.tsv
external	pls2_proj	True	base	0.0036735	0.01049	0.72619	8715		0.0037992	7.0 p/mh_p_cbcl.tsv
external	pls2_proj	True	y3	-0.0077646	0.010711	0.46851	8069		-0.008074	7.0 p/mh_p_cbcl.tsv
external	pls2_proj	True	late	-0.0055031	0.0097255	0.5715	8186		-0.0063117	7.0 p/mh_p_cbcl.tsv
external	pls2_proj	True	change	-0.0069522	0.0077842	0.3718	8185		-0.0079737	7.0 p/mh_p_cbcl.tsv
external	pls2_proj	True	trajectory	-0.00015868	0.0014929	0.91535	8554		-0.0011326	7.0 p/mh_p_cbcl.tsv
depress	pls2_proj	True	base	0.00023407	0.0072593	0.97428	8715		0.0003519	7.0 p/mh_p_cbcl.tsv
depress	pls2_proj	True	y3	-0.01477	0.0083166	0.075736	8069		-0.019882	7.0 p/mh_p_cbcl.tsv
depress	pls2_proj	True	late	-0.009065	0.0076584	0.23654	8182		-0.012835	7.0 p/mh_p_cbcl.tsv
depress	pls2_proj	True	change	-0.0082644	0.0067395	0.2201	8181		-0.011702	7.0 p/mh_p_cbcl.tsv
depress	pls2_proj	True	trajectory	-0.00054122	0.0012168	0.65649	8552		-0.0045507	7.0 p/mh_p_cbcl.tsv
anxdisord	pls2_proj	True	base	-0.0012747	0.0079107	0.87199	8715		-0.0017426	7.0 p/mh_p_cbcl.tsv
anxdisord	pls2_proj	True	y3	-0.0023957	0.008075	0.76671	8069		-0.003314	7.0 p/mh_p_cbcl.tsv
anxdisord	pls2_proj	True	late	-0.011987	0.0069632	0.085165	8186		-0.018463	7.0 p/mh_p_cbcl.tsv
anxdisord	pls2_proj	True	change	-0.010511	0.0059553	0.077576	8185		-0.016189	7.0 p/mh_p_cbcl.tsv
anxdisord	pls2_proj	True	trajectory	-0.00056569	0.0011304	0.61677	8553		-0.0051315	7.0 p/mh_p_cbcl.tsv
somaticpr	pls2_proj	True	base	-0.008994	0.0066568	0.17667	8715		-0.014852	7.0 p/mh_p_cbcl.tsv
somaticpr	pls2_proj	True	y3	-0.0059627	0.0065899	0.36556	8070		-0.010131	7.0 p/mh_p_cbcl.tsv
somaticpr	pls2_proj	True	late	-0.012042	0.0058961	0.041115	8193		-0.022143	7.0 p/mh_p_cbcl.tsv
somaticpr	pls2_proj	True	change	-0.0087641	0.0053314	0.1002	8192		-0.016116	7.0 p/mh_p_cbcl.tsv
somaticpr	pls2_proj	True	trajectory	-0.00043237	0.001047	0.67963	8554		-0.0043545	7.0 p/mh_p_cbcl.tsv
adhd	pls2_proj	True	base	0.0089433	0.0088701	0.31334	8715		0.010996	7.0 p/mh_p_cbcl.tsv
adhd	pls2_proj	True	y3	0.0049223	0.0088896	0.57978	8070		0.006226	7.0 p/mh_p_cbcl.tsv
adhd	pls2_proj	True	late	-0.00046527	0.007866	0.95283	8192		-0.00065749	7.0 p/mh_p_cbcl.tsv
adhd	pls2_proj	True	change	-0.0052053	0.0063623	0.41328	8191		-0.0073558	7.0 p/mh_p_cbcl.tsv
adhd	pls2_proj	True	trajectory	-0.0015605	0.0011971	0.19238	8554		-0.013727	7.0 p/mh_p_cbcl.tsv
opposit	pls2_proj	True	base	0.007015	0.0076533	0.35935	8715		0.0099478	7.0 p/mh_p_cbcl.tsv
opposit	pls2_proj	True	y3	-0.0076173	0.0077193	0.32375	8069		-0.011114	7.0 p/mh_p_cbcl.tsv
opposit	pls2_proj	True	late	-0.0010549	0.0066918	0.87474	8193		-0.0017756	7.0 p/mh_p_cbcl.tsv
opposit	pls2_proj	True	change	-0.0045188	0.0055399	0.41469	8192		-0.007606	7.0 p/mh_p_cbcl.tsv
opposit	pls2_proj	True	trajectory	-0.00023313	0.0010782	0.82882	8554		-0.0022904	7.0 p/mh_p_cbcl.tsv
conduct	pls2_proj	True	base	0.0015776	0.0074054	0.8313	8715		0.0022959	7.0 p/mh_p_cbcl.tsv
conduct	pls2_proj	True	y3	-0.0015834	0.0073951	0.83045	8069		-0.002358	7.0 p/mh_p_cbcl.tsv
conduct	pls2_proj	True	late	-0.0022469	0.006776	0.74019	8187		-0.0036848	7.0 p/mh_p_cbcl.tsv
conduct	pls2_proj	True	change	-0.0026188	0.0057426	0.64837	8186		-0.0042946	7.0 p/mh_p_cbcl.tsv
conduct	pls2_proj	True	trajectory	-0.00035849	0.0011103	0.74678	8554		-0.0034305	7.0 p/mh_p_cbcl.tsv
pfactor	pls2_proj	True	base	0.0019682	0.025011	0.93728	8715		0.00084678	7.0 p/mh_p_cbcl.tsv
pfactor	pls2_proj	True	y3	-0.023564	0.025752	0.36018	8068		-0.010086	7.0 p/mh_p_cbcl.tsv
pfactor	pls2_proj	True	late	-0.033746	0.024197	0.16312	8163		-0.015223	7.0 p/mh_p_cbcl.tsv
pfactor	pls2_proj	True	change	-0.031487	0.018862	0.095041	8162		-0.014204	7.0 p/mh_p_cbcl.tsv
pfactor	pls2_proj	True	trajectory	-0.0017789	0.0034186	0.60282	8549		-0.0053839	7.0 p/mh_p_cbcl.tsv
totprob_clin	pls2_proj	True	clinical_logit	-0.0082847	0.041112	0.8403	8188	663		7.0 p/mh_p_cbcl.tsv
internal_clin	pls2_proj	True	clinical_logit	-0.009827	0.030837	0.74997	8190	1256		7.0 p/mh_p_cbcl.tsv
external_clin	pls2_proj	True	clinical_logit	-0.013891	0.052349	0.79074	8186	395		7.0 p/mh_p_cbcl.tsv
depress_clin	pls2_proj	True	clinical_logit	-0.021939	0.030124	0.46644	6760	1401		7.0 p/mh_p_cbcl.tsv
mdd_youth_DX	pls2_proj	True	ksads_logit	-0.025558	0.032738	0.435	8716	1111		7.0 p/mh_p_cbcl.tsv
mdd_parent_DX	pls2_proj	True	ksads_logit	0.019014	0.037066	0.60796	8716	791		7.0 p/mh_p_cbcl.tsv
psychosis_parent_DX	pls2_proj	True	ksads_logit	-0.078945	0.049711	0.11227	8716	398		7.0 p/mh_p_cbcl.tsv
anxdep	pls2_top	False	base	0.0077868	0.0087432	0.37314	8715		0.0098477	7.0 p/mh_p_cbcl.tsv
anxdep	pls2_top	False	y3	-0.0025392	0.0090898	0.77998	8069		-0.003208	7.0 p/mh_p_cbcl.tsv
anxdep	pls2_top	False	late	-0.0069325	0.0082211	0.39908	8185		-0.0095772	7.0 p/mh_p_cbcl.tsv
anxdep	pls2_top	False	change	-0.0094418	0.0070388	0.17979	8184		-0.013044	7.0 p/mh_p_cbcl.tsv
anxdep	pls2_top	False	trajectory	-0.0017444	0.0013054	0.18144	8553		-0.014491	7.0 p/mh_p_cbcl.tsv
withdep	pls2_top	False	base	-0.00028897	0.0067893	0.96605	8715		-0.0004707	7.0 p/mh_p_cbcl.tsv
withdep	pls2_top	False	y3	0.0029619	0.0081008	0.71464	8070		0.0042078	7.0 p/mh_p_cbcl.tsv
withdep	pls2_top	False	late	0.005957	0.0076548	0.43645	8190		0.0090232	7.0 p/mh_p_cbcl.tsv
withdep	pls2_top	False	change	0.0059108	0.0068428	0.38769	8189		0.0089532	7.0 p/mh_p_cbcl.tsv
withdep	pls2_top	False	trajectory	0.0023066	0.001269	0.069125	8552		0.020554	7.0 p/mh_p_cbcl.tsv
somatic	pls2_top	False	base	-0.00048578	0.0074993	0.94835	8715		-0.00072575	7.0 p/mh_p_cbcl.tsv
somatic	pls2_top	False	y3	-0.008246	0.0076608	0.28175	8070		-0.012402	7.0 p/mh_p_cbcl.tsv
somatic	pls2_top	False	late	-0.016795	0.0072016	0.019691	8183		-0.026739	7.0 p/mh_p_cbcl.tsv
somatic	pls2_top	False	change	-0.017361	0.0062905	0.0057832	8182		-0.027639	7.0 p/mh_p_cbcl.tsv
somatic	pls2_top	False	trajectory	-0.0020279	0.00117	0.083035	8552		-0.018422	7.0 p/mh_p_cbcl.tsv
social	pls2_top	False	base	-0.00072246	0.0079913	0.92796	8715		-0.0010209	7.0 p/mh_p_cbcl.tsv
social	pls2_top	False	y3	-0.0047922	0.0076434	0.53067	8068		-0.0073087	7.0 p/mh_p_cbcl.tsv
social	pls2_top	False	late	-0.0032119	0.006491	0.62073	8182		-0.0057379	7.0 p/mh_p_cbcl.tsv
social	pls2_top	False	change	-0.0027966	0.005479	0.60975	8181		-0.0049961	7.0 p/mh_p_cbcl.tsv
social	pls2_top	False	trajectory	-0.00035412	0.0011276	0.75348	8552		-0.0034719	7.0 p/mh_p_cbcl.tsv
thought	pls2_top	False	base	0.0089488	0.0076728	0.24349	8715		0.013056	7.0 p/mh_p_cbcl.tsv
thought	pls2_top	False	y3	0.00014459	0.0078891	0.98538	8070		0.00021446	7.0 p/mh_p_cbcl.tsv
thought	pls2_top	False	late	0.00012352	0.0069866	0.98589	8184		0.00020503	7.0 p/mh_p_cbcl.tsv
thought	pls2_top	False	change	-0.0032128	0.0060228	0.59373	8183		-0.0053329	7.0 p/mh_p_cbcl.tsv
thought	pls2_top	False	trajectory	-0.00049395	0.0011239	0.66032	8553		-0.004784	7.0 p/mh_p_cbcl.tsv
attention	pls2_top	False	base	0.017851	0.0094976	0.060168	8715		0.020731	7.0 p/mh_p_cbcl.tsv
attention	pls2_top	False	y3	0.010869	0.0097215	0.26353	8070		0.012797	7.0 p/mh_p_cbcl.tsv
attention	pls2_top	False	late	0.0095553	0.0089654	0.28652	8189		0.0122	7.0 p/mh_p_cbcl.tsv
attention	pls2_top	False	change	0.0001379	0.0071838	0.98468	8188		0.00017607	7.0 p/mh_p_cbcl.tsv
attention	pls2_top	False	trajectory	-0.00071686	0.0013214	0.58747	8554		-0.0058854	7.0 p/mh_p_cbcl.tsv
rulebreak	pls2_top	False	base	0.0024006	0.0071182	0.73593	8715		0.0037695	7.0 p/mh_p_cbcl.tsv
rulebreak	pls2_top	False	y3	-0.0065682	0.0074242	0.37632	8069		-0.010214	7.0 p/mh_p_cbcl.tsv
rulebreak	pls2_top	False	late	0.013875	0.007316	0.057882	8183		0.022174	7.0 p/mh_p_cbcl.tsv
rulebreak	pls2_top	False	change	0.013024	0.0063331	0.039732	8182		0.020813	7.0 p/mh_p_cbcl.tsv
rulebreak	pls2_top	False	trajectory	0.0025043	0.0011826	0.034202	8553		0.023619	7.0 p/mh_p_cbcl.tsv
aggressive	pls2_top	False	base	0.013378	0.010034	0.18244	8715		0.014912	7.0 p/mh_p_cbcl.tsv
aggressive	pls2_top	False	y3	-0.0042509	0.010134	0.67488	8069		-0.004869	7.0 p/mh_p_cbcl.tsv
aggressive	pls2_top	False	late	0.0016218	0.0089098	0.85556	8193		0.0021424	7.0 p/mh_p_cbcl.tsv
aggressive	pls2_top	False	change	-0.0052638	0.0071514	0.46171	8192		-0.0069535	7.0 p/mh_p_cbcl.tsv
aggressive	pls2_top	False	trajectory	-0.00094451	0.0013684	0.49004	8554		-0.0074945	7.0 p/mh_p_cbcl.tsv
totprob	pls2_top	False	base	0.014841	0.011405	0.19316	8715		0.01444	7.0 p/mh_p_cbcl.tsv
totprob	pls2_top	False	y3	-0.0049655	0.012651	0.69469	8069		-0.0045563	7.0 p/mh_p_cbcl.tsv
totprob	pls2_top	False	late	-0.0031013	0.012531	0.80452	8188		-0.002892	7.0 p/mh_p_cbcl.tsv
totprob	pls2_top	False	change	-0.012261	0.0098341	0.21247	8187		-0.011434	7.0 p/mh_p_cbcl.tsv
totprob	pls2_top	False	trajectory	-0.0010439	0.0017245	0.54496	8553		-0.0066596	7.0 p/mh_p_cbcl.tsv
internal	pls2_top	False	base	0.0083891	0.010006	0.40179	8715		0.0093076	7.0 p/mh_p_cbcl.tsv
internal	pls2_top	False	y3	-0.0024798	0.010886	0.81981	8069		-0.0026378	7.0 p/mh_p_cbcl.tsv
internal	pls2_top	False	late	-0.0074511	0.010324	0.47046	8190		-0.008329	7.0 p/mh_p_cbcl.tsv
internal	pls2_top	False	change	-0.01187	0.0086337	0.16917	8189		-0.013269	7.0 p/mh_p_cbcl.tsv
internal	pls2_top	False	trajectory	-0.0011695	0.0015344	0.44595	8554		-0.0082393	7.0 p/mh_p_cbcl.tsv
external	pls2_top	False	base	0.012969	0.010842	0.23162	8715		0.013413	7.0 p/mh_p_cbcl.tsv
external	pls2_top	False	y3	-0.0078283	0.011179	0.48377	8069		-0.0081402	7.0 p/mh_p_cbcl.tsv
external	pls2_top	False	late	0.0075211	0.01021	0.46134	8186		0.0086263	7.0 p/mh_p_cbcl.tsv
external	pls2_top	False	change	0.0006382	0.00816	0.93766	8185		0.00073198	7.0 p/mh_p_cbcl.tsv
external	pls2_top	False	trajectory	0.00025771	0.0015369	0.86683	8554		0.0018394	7.0 p/mh_p_cbcl.tsv
depress	pls2_top	False	base	0.0050012	0.0074896	0.50429	8715		0.0075189	7.0 p/mh_p_cbcl.tsv
depress	pls2_top	False	y3	-0.0045542	0.0086234	0.59742	8069		-0.0061304	7.0 p/mh_p_cbcl.tsv
depress	pls2_top	False	late	0.0021935	0.0081781	0.78853	8182		0.0031058	7.0 p/mh_p_cbcl.tsv
depress	pls2_top	False	change	0.0011142	0.0072159	0.87728	8181		0.0015776	7.0 p/mh_p_cbcl.tsv
depress	pls2_top	False	trajectory	0.0001596	0.0013049	0.90265	8552		0.001342	7.0 p/mh_p_cbcl.tsv
anxdisord	pls2_top	False	base	0.0034476	0.0080523	0.66854	8715		0.0047133	7.0 p/mh_p_cbcl.tsv
anxdisord	pls2_top	False	y3	0.0031846	0.0082908	0.7009	8069		0.0044053	7.0 p/mh_p_cbcl.tsv
anxdisord	pls2_top	False	late	-0.0014058	0.0074248	0.84983	8186		-0.0021652	7.0 p/mh_p_cbcl.tsv
anxdisord	pls2_top	False	change	-0.002361	0.006417	0.71292	8185		-0.0036365	7.0 p/mh_p_cbcl.tsv
anxdisord	pls2_top	False	trajectory	-0.00035759	0.0012044	0.76654	8553		-0.0032438	7.0 p/mh_p_cbcl.tsv
somaticpr	pls2_top	False	base	-0.0027702	0.006797	0.6836	8715		-0.0045744	7.0 p/mh_p_cbcl.tsv
somaticpr	pls2_top	False	y3	-0.010459	0.0068015	0.12411	8070		-0.01777	7.0 p/mh_p_cbcl.tsv
somaticpr	pls2_top	False	late	-0.015482	0.0062753	0.013622	8193		-0.028468	7.0 p/mh_p_cbcl.tsv
somaticpr	pls2_top	False	change	-0.015183	0.0055419	0.0061502	8192		-0.027919	7.0 p/mh_p_cbcl.tsv
somaticpr	pls2_top	False	trajectory	-0.0013716	0.0010503	0.1916	8554		-0.013813	7.0 p/mh_p_cbcl.tsv
adhd	pls2_top	False	base	0.013008	0.0089659	0.14683	8715		0.015994	7.0 p/mh_p_cbcl.tsv
adhd	pls2_top	False	y3	0.010447	0.0090839	0.25013	8070		0.013214	7.0 p/mh_p_cbcl.tsv
adhd	pls2_top	False	late	0.0027239	0.0080854	0.7362	8192		0.0038493	7.0 p/mh_p_cbcl.tsv
adhd	pls2_top	False	change	-0.0041061	0.0065151	0.52854	8191		-0.0058024	7.0 p/mh_p_cbcl.tsv
adhd	pls2_top	False	trajectory	-0.0012347	0.0012147	0.30938	8554		-0.010861	7.0 p/mh_p_cbcl.tsv
opposit	pls2_top	False	base	0.015136	0.007775	0.051569	8715		0.021463	7.0 p/mh_p_cbcl.tsv
opposit	pls2_top	False	y3	-0.0034732	0.0079976	0.66408	8069		-0.0050676	7.0 p/mh_p_cbcl.tsv
opposit	pls2_top	False	late	0.0052676	0.0069671	0.44961	8193		0.0088665	7.0 p/mh_p_cbcl.tsv
opposit	pls2_top	False	change	-0.0021719	0.0058064	0.70836	8192		-0.0036558	7.0 p/mh_p_cbcl.tsv
opposit	pls2_top	False	trajectory	-0.0009591	0.0011125	0.38863	8554		-0.0094228	7.0 p/mh_p_cbcl.tsv
conduct	pls2_top	False	base	0.0073891	0.0077095	0.33784	8715		0.010753	7.0 p/mh_p_cbcl.tsv
conduct	pls2_top	False	y3	-0.0014217	0.0076796	0.85313	8069		-0.0021171	7.0 p/mh_p_cbcl.tsv
conduct	pls2_top	False	late	0.0088751	0.0071453	0.2142	8187		0.014554	7.0 p/mh_p_cbcl.tsv
conduct	pls2_top	False	change	0.0057052	0.0060514	0.34579	8186		0.009356	7.0 p/mh_p_cbcl.tsv
conduct	pls2_top	False	trajectory	0.00049135	0.0011573	0.67116	8554		0.0047019	7.0 p/mh_p_cbcl.tsv
pfactor	pls2_top	False	base	0.024563	0.026139	0.34737	8715		0.010567	7.0 p/mh_p_cbcl.tsv
pfactor	pls2_top	False	y3	-0.0071429	0.027395	0.79429	8068		-0.0030572	7.0 p/mh_p_cbcl.tsv
pfactor	pls2_top	False	late	0.0020565	0.025948	0.93683	8163		0.00092771	7.0 p/mh_p_cbcl.tsv
pfactor	pls2_top	False	change	-0.012585	0.020074	0.53072	8162		-0.0056769	7.0 p/mh_p_cbcl.tsv
pfactor	pls2_top	False	trajectory	-0.00063208	0.0036217	0.86145	8549		-0.001913	7.0 p/mh_p_cbcl.tsv
totprob_clin	pls2_top	False	clinical_logit	0.0040394	0.042134	0.92362	8188	663		7.0 p/mh_p_cbcl.tsv
internal_clin	pls2_top	False	clinical_logit	-0.05044	0.032755	0.12358	8190	1256		7.0 p/mh_p_cbcl.tsv
external_clin	pls2_top	False	clinical_logit	-0.0065835	0.055544	0.90565	8186	395		7.0 p/mh_p_cbcl.tsv
depress_clin	pls2_top	False	clinical_logit	0.0068228	0.031252	0.82718	6760	1401		7.0 p/mh_p_cbcl.tsv
mdd_youth_DX	pls2_top	False	ksads_logit	-0.054695	0.034004	0.10773	8716	1111		7.0 p/mh_p_cbcl.tsv
mdd_parent_DX	pls2_top	False	ksads_logit	0.025303	0.038631	0.51247	8716	791		7.0 p/mh_p_cbcl.tsv
psychosis_parent_DX	pls2_top	False	ksads_logit	0.0084355	0.053881	0.87559	8716	398		7.0 p/mh_p_cbcl.tsv
anxdep	pls2_top	True	base	0.016885	0.011181	0.13098	8715		0.021354	7.0 p/mh_p_cbcl.tsv
anxdep	pls2_top	True	y3	-0.008602	0.011518	0.45515	8069		-0.010868	7.0 p/mh_p_cbcl.tsv
anxdep	pls2_top	True	late	-0.022364	0.0103	0.029922	8185		-0.030895	7.0 p/mh_p_cbcl.tsv
anxdep	pls2_top	True	change	-0.029876	0.0086775	0.00057538	8184		-0.041273	7.0 p/mh_p_cbcl.tsv
anxdep	pls2_top	True	trajectory	-0.0048714	0.001633	0.0028543	8553		-0.040466	7.0 p/mh_p_cbcl.tsv
withdep	pls2_top	True	base	0.0094375	0.0086479	0.27514	8715		0.015373	7.0 p/mh_p_cbcl.tsv
withdep	pls2_top	True	y3	-0.011095	0.010211	0.27721	8070		-0.015762	7.0 p/mh_p_cbcl.tsv
withdep	pls2_top	True	late	-0.0059373	0.0097447	0.54233	8190		-0.0089934	7.0 p/mh_p_cbcl.tsv
withdep	pls2_top	True	change	-0.011217	0.0086444	0.19441	8189		-0.016991	7.0 p/mh_p_cbcl.tsv
withdep	pls2_top	True	trajectory	-0.00082882	0.0015803	0.59996	8552		-0.0073855	7.0 p/mh_p_cbcl.tsv
somatic	pls2_top	True	base	0.00091568	0.0093713	0.92216	8715		0.001368	7.0 p/mh_p_cbcl.tsv
somatic	pls2_top	True	y3	-0.01473	0.0097512	0.13091	8070		-0.022154	7.0 p/mh_p_cbcl.tsv
somatic	pls2_top	True	late	-0.029407	0.008986	0.0010657	8183		-0.046819	7.0 p/mh_p_cbcl.tsv
somatic	pls2_top	True	change	-0.031118	0.0078572	7.4826e-05	8182		-0.049541	7.0 p/mh_p_cbcl.tsv
somatic	pls2_top	True	trajectory	-0.0029316	0.0014879	0.04881	8552		-0.026631	7.0 p/mh_p_cbcl.tsv
social	pls2_top	True	base	0.0094714	0.010173	0.35185	8715		0.013384	7.0 p/mh_p_cbcl.tsv
social	pls2_top	True	y3	-0.0071616	0.0096292	0.45704	8068		-0.010922	7.0 p/mh_p_cbcl.tsv
social	pls2_top	True	late	-0.010309	0.0081657	0.20677	8182		-0.018417	7.0 p/mh_p_cbcl.tsv
social	pls2_top	True	change	-0.014069	0.0069377	0.042565	8181		-0.025134	7.0 p/mh_p_cbcl.tsv
social	pls2_top	True	trajectory	-0.002294	0.0014336	0.10956	8552		-0.022491	7.0 p/mh_p_cbcl.tsv
thought	pls2_top	True	base	0.0065108	0.0097304	0.50342	8715		0.0094992	7.0 p/mh_p_cbcl.tsv
thought	pls2_top	True	y3	-0.0079907	0.010226	0.43454	8070		-0.011852	7.0 p/mh_p_cbcl.tsv
thought	pls2_top	True	late	-0.008974	0.0088404	0.31005	8184		-0.014896	7.0 p/mh_p_cbcl.tsv
thought	pls2_top	True	change	-0.012682	0.0075326	0.092255	8183		-0.021051	7.0 p/mh_p_cbcl.tsv
thought	pls2_top	True	trajectory	-0.0019929	0.0013929	0.1525	8553		-0.019302	7.0 p/mh_p_cbcl.tsv
attention	pls2_top	True	base	0.030663	0.012087	0.011184	8715		0.035609	7.0 p/mh_p_cbcl.tsv
attention	pls2_top	True	y3	0.0047194	0.012277	0.70068	8070		0.0055563	7.0 p/mh_p_cbcl.tsv
attention	pls2_top	True	late	0.010106	0.011244	0.36877	8189		0.012903	7.0 p/mh_p_cbcl.tsv
attention	pls2_top	True	change	-0.0074579	0.0090469	0.40973	8188		-0.0095223	7.0 p/mh_p_cbcl.tsv
attention	pls2_top	True	trajectory	-0.0032908	0.0016732	0.049218	8554		-0.027017	7.0 p/mh_p_cbcl.tsv
rulebreak	pls2_top	True	base	-0.0024952	0.0090499	0.78277	8715		-0.0039181	7.0 p/mh_p_cbcl.tsv
rulebreak	pls2_top	True	y3	-0.0088611	0.0094197	0.34686	8069		-0.013779	7.0 p/mh_p_cbcl.tsv
rulebreak	pls2_top	True	late	0.0021075	0.009203	0.81887	8183		0.0033679	7.0 p/mh_p_cbcl.tsv
rulebreak	pls2_top	True	change	0.0028889	0.0078748	0.71373	8182		0.0046165	7.0 p/mh_p_cbcl.tsv
rulebreak	pls2_top	True	trajectory	0.00063411	0.0014461	0.66102	8553		0.0059806	7.0 p/mh_p_cbcl.tsv
aggressive	pls2_top	True	base	0.010223	0.012804	0.4246	8715		0.011396	7.0 p/mh_p_cbcl.tsv
aggressive	pls2_top	True	y3	-0.011208	0.013	0.38859	8069		-0.012838	7.0 p/mh_p_cbcl.tsv
aggressive	pls2_top	True	late	-0.0071358	0.011382	0.53069	8193		-0.0094265	7.0 p/mh_p_cbcl.tsv
aggressive	pls2_top	True	change	-0.013736	0.0091345	0.13264	8192		-0.018146	7.0 p/mh_p_cbcl.tsv
aggressive	pls2_top	True	trajectory	-0.0018403	0.0017365	0.28924	8554		-0.014602	7.0 p/mh_p_cbcl.tsv
totprob	pls2_top	True	base	0.025622	0.014623	0.07974	8715		0.024928	7.0 p/mh_p_cbcl.tsv
totprob	pls2_top	True	y3	-0.014844	0.01614	0.35773	8069		-0.013621	7.0 p/mh_p_cbcl.tsv
totprob	pls2_top	True	late	-0.016972	0.016069	0.2909	8188		-0.015826	7.0 p/mh_p_cbcl.tsv
totprob	pls2_top	True	change	-0.036042	0.012391	0.0036302	8187		-0.033609	7.0 p/mh_p_cbcl.tsv
totprob	pls2_top	True	trajectory	-0.0045318	0.0021671	0.036509	8553		-0.028911	7.0 p/mh_p_cbcl.tsv
internal	pls2_top	True	base	0.018814	0.012741	0.13977	8715		0.020874	7.0 p/mh_p_cbcl.tsv
internal	pls2_top	True	y3	-0.013616	0.013795	0.32361	8069		-0.014484	7.0 p/mh_p_cbcl.tsv
internal	pls2_top	True	late	-0.0265	0.013058	0.042415	8190		-0.029623	7.0 p/mh_p_cbcl.tsv
internal	pls2_top	True	change	-0.038232	0.010758	0.00037972	8189		-0.042737	7.0 p/mh_p_cbcl.tsv
internal	pls2_top	True	trajectory	-0.0046044	0.0019197	0.016464	8554		-0.032439	7.0 p/mh_p_cbcl.tsv
external	pls2_top	True	base	0.0093225	0.013794	0.49913	8715		0.0096415	7.0 p/mh_p_cbcl.tsv
external	pls2_top	True	y3	-0.013934	0.014265	0.32865	8069		-0.01449	7.0 p/mh_p_cbcl.tsv
external	pls2_top	True	late	-0.0062237	0.01297	0.63132	8186		-0.0071382	7.0 p/mh_p_cbcl.tsv
external	pls2_top	True	change	-0.01262	0.010377	0.22395	8185		-0.014474	7.0 p/mh_p_cbcl.tsv
external	pls2_top	True	trajectory	-0.0014096	0.001931	0.4654	8554		-0.010061	7.0 p/mh_p_cbcl.tsv
depress	pls2_top	True	base	0.0050293	0.0094712	0.59542	8715		0.0075611	7.0 p/mh_p_cbcl.tsv
depress	pls2_top	True	y3	-0.019908	0.011101	0.072932	8069		-0.026798	7.0 p/mh_p_cbcl.tsv
depress	pls2_top	True	late	-0.016634	0.010252	0.10467	8182		-0.023553	7.0 p/mh_p_cbcl.tsv
depress	pls2_top	True	change	-0.018694	0.0090496	0.038853	8181		-0.026469	7.0 p/mh_p_cbcl.tsv
depress	pls2_top	True	trajectory	-0.0027381	0.0016534	0.097724	8552		-0.023023	7.0 p/mh_p_cbcl.tsv
anxdisord	pls2_top	True	base	0.014844	0.010311	0.14996	8715		0.020293	7.0 p/mh_p_cbcl.tsv
anxdisord	pls2_top	True	y3	0.0015653	0.010518	0.88169	8069		0.0021653	7.0 p/mh_p_cbcl.tsv
anxdisord	pls2_top	True	late	-0.013102	0.0092799	0.158	8186		-0.02018	7.0 p/mh_p_cbcl.tsv
anxdisord	pls2_top	True	change	-0.019415	0.0078862	0.013821	8185		-0.029903	7.0 p/mh_p_cbcl.tsv
anxdisord	pls2_top	True	trajectory	-0.0031485	0.0015051	0.036447	8553		-0.028561	7.0 p/mh_p_cbcl.tsv
somaticpr	pls2_top	True	base	-0.0049873	0.0084662	0.55581	8715		-0.0082357	7.0 p/mh_p_cbcl.tsv
