label,CT,dCT,PLS1,PLS2,C1,C3,system,cortex
lh_OP2-3,2.72335,-0.0204141,40.3223,20.2276,,,sensorimotor,Posterior_Opercular
lh_OP4,2.91002,-0.0215849,9.26509,-14.2068,0.385299,-0.106502,sensorimotor,Posterior_Opercular
lh_PBelt,2.69649,-0.0136744,56.3523,-31.5504,1.15985,-1.04465,auditory,Early_Auditory
lh_PCV,2.61698,-0.023896,31.1054,8.91509,0.699377,0.319168,association,Posterior_Cingulate
lh_PEF,2.63171,-0.00620241,12.7529,-72.0042,,,sensorimotor,Premotor
lh_PF,2.88152,-0.020169,1.03645,9.08713,0.319679,1.27399,association,Inferior_Parietal
lh_PFcm,2.7472,-0.0199354,40.4902,-12.514,,,auditory,Early_Auditory
lh_PFm,2.79754,-0.0231217,3.33561,12.2976,0.46308,1.39265,association,Inferior_Parietal
lh_PFop,2.92402,-0.0194776,-17.8137,13.2459,-0.0308032,1.14219,association,Inferior_Parietal
lh_PFt,2.62425,-0.0195228,11.3893,-20.7564,0.419426,-0.0675265,association,Inferior_Parietal
lh_PGi,2.68091,-0.02423,11.6119,14.2476,0.450138,0.824966,association,Inferior_Parietal
lh_PGp,2.81392,-0.0260028,34.5499,8.33275,0.870767,0.339318,association,Inferior_Parietal
lh_PGs,2.85622,-0.0281114,27.0699,19.4577,0.926209,1.21282,association,Inferior_Parietal
lh_PH,2.68067,-0.0197046,30.7662,17.2326,0.671717,0.872097,visual,MT+_Complex_and_Neighboring_Visual_Areas
lh_PHA1,2.98661,-0.0142352,-45.9072,-33.4912,-1.03757,-1.65863,association,Medial_Temporal
lh_PHA2,2.43599,-0.0184432,-62.893,31.2629,-1.36733,0.57116,association,Medial_Temporal
lh_PHA3,2.70626,-0.0172839,-39.9256,11.9069,-1.06958,0.474079,association,Medial_Temporal
lh_PHT,2.97839,-0.020854,-1.4329,5.27996,0.110119,1.02473,association,Lateral_Temporal
lh_PI,2.8304,-0.00938287,-44.7792,9.41579,-1.28296,-0.0446565,auditory,Insular_and_Frontal_Opercular
lh_PIT,2.70472,-0.0181499,21.1722,0.147729,,,visual,Ventral_Stream_Visual
lh_POS1,2.85339,-0.0246553,14.8265,21.6108,0.431601,0.949841,association,Posterior_Cingulate
lh_POS2,2.47092,-0.0226028,37.3463,31.4353,1.10881,1.10435,association,Posterior_Cingulate
lh_PSL,2.93249,-0.0187095,7.78694,27.7497,0.306398,1.44304,association,Temporo-Parieto_Occipital_Junction
lh_PeEc,3.07457,-0.00588949,-96.8335,-31.3004,-1.89739,-1.79619,association,Medial_Temporal
lh_Pir,2.99625,-0.000382911,-42.911,-100.413,,,auditory,Insular_and_Frontal_Opercular
lh_PoI1,3.30892,-0.0173384,-81.2089,12.5499,-1.74616,-0.586551,auditory,Insular_and_Frontal_Opercular
lh_PoI2,3.59502,-0.020702,-87.3394,2.46126,-1.90057,-1.585,auditory,Insular_and_Frontal_Opercular
lh_PreS,1.71387,-0.0122032,-29.0865,-34.5292,-0.971794,-1.85018,association,Medial_Temporal
lh_ProS,2.36249,-0.027536,-57.7821,-7.57331,,,association,Posterior_Cingulate
lh_RI,2.58848,-0.0201434,54.8706,-18.9622,,,auditory,Early_Auditory
lh_RSC,2.39017,-0.0148258,28.3392,-14.4904,0.721925,-0.611172,association,Posterior_Cingulate
lh_SCEF,3.07464,-0.0169091,-26.4498,-32.5832,0.115468,-0.710137,sensorimotor,Paracentral_Lobular_and_Mid_Cingulate
lh_SFL,3.28585,-0.0196723,-29.3372,-36.8822,0.0286624,-0.799577,association,Dorsolateral_Prefrontal
lh_STGa,3.61665,-0.0127183,-78.2918,11.6338,-1.67887,-0.112868,auditory,Auditory_Association
lh_STSda,2.95348,-0.0194582,-30.342,1.646,,,auditory,Auditory_Association
lh_STSdp,2.71952,-0.0242898,10.1296,9.13988,0.313021,1.10998,auditory,Auditory_Association
lh_STSva,2.74275,-0.0178691,-34.4929,-6.95023,-0.956509,0.270337,auditory,Auditory_Association
lh_STSvp,2.86796,-0.0248754,-7.93606,-5.49811,-0.279481,0.48085,auditory,Auditory_Association
lh_STV,2.9096,-0.0203569,-6.71916,21.7081,0.0656365,1.22222,association,Temporo-Parieto-Occipital_Junction
lh_TA2,3.0554,-0.00956376,-44.5962,14.0852,-1.10928,0.457959,auditory,Auditory_Association
lh_TE1a,3.38033,-0.0174836,-34.2457,-5.09378,-1.02731,0.0774407,association,Lateral_Temporal
lh_TE1m,3.08772,-0.0180893,-41.9122,6.79525,-0.908639,0.810254,association,Lateral_Temporal
lh_TE1p,3.04035,-0.0188847,-19.443,7.09222,-0.486758,1.25773,association,Lateral_Temporal
lh_TE2a,2.91218,-0.0181758,-47.3422,-0.322611,-1.14865,0.321337,association,Lateral_Temporal
lh_TE2p,2.77357,-0.0182196,-25.6154,17.7515,-0.645703,1.3367,association,Lateral_Temporal
lh_TF,2.91368,-0.0171849,-52.3042,9.51986,-1.23328,0.712786,association,Medial_Temporal
lh_TGd,3.4823,-0.0117828,-92.4091,-7.42587,-1.91955,-0.963901,association,Lateral_Temporal
lh_TGv,3.35826,-0.013464,-65.8106,-2.46434,-1.53794,-0.0945557,association,Lateral_Temporal
lh_TPOJ1,2.74704,-0.0211634,10.3572,19.1011,0.317889,1.22209,association,Temporo-Parieto-Occipital_Junction
lh_TPOJ2,2.69897,-0.0219262,13.1791,-8.37971,0.498947,0.760364,association,Temporo-Parieto-Occipital_Junction
lh_TPOJ3,2.52295,-0.0232161,14.8481,35.0071,,,association,Temporo-Parieto-Occipital_Junction
lh_V1,1.83674,-0.00919467,128.449,-18.7028,2.12011,-1.90591,visual,Primary_Visual
lh_V2,2.03186,-0.0197938,106.463,-19.9265,2.04986,-1.48774,visual,Early_Visual
lh_V3,2.2418,-0.019677,109.05,-7.00046,2.03484,-1.29937,visual,Early_Visual
lh_V3A,2.25424,-0.0196771,94.2846,3.10135,1.92001,-0.46184,visual,Dorsal_Stream_Visual
lh_V3B,2.27406,-0.017952,106.141,-75.0767,,,visual,Dorsal_Stream_Visual
lh_V3CD,2.43751,-0.0208039,93.3115,-37.7746,,,visual,MT+_Complex_and_Neighboring_Visual_Areas
lh_V4,2.34288,-0.0180068,79.2574,-9.51266,1.62756,-0.480772,visual,Early_Visual
lh_V4t,2.69139,-0.0190505,61.7437,32.6808,,,visual,MT+_Complex_and_Neighboring_Visual_Areas
lh_V6,2.23104,-0.0193757,39.8861,57.9326,,,visual,Dorsal_Stream_Visual
lh_V6A,2.53049,-0.0232938,,,,,visual,Dorsal_Stream_Visual
lh_V7,2.42566,-0.0223922,84.9537,14.2159,,,visual,Dorsal_Stream_Visual
lh_V8,2.61015,-0.0173912,57.9242,-4.78266,,,visual,Ventral_Stream_Visual
lh_VIP,2.60741,-0.0241941,48.3791,0.0951431,0.994613,-0.243781,association,Superior_Parietal
lh_VMV1,2.56741,-0.0192869,52.0936,3.05952,1.25355,0.27371,visual,Ventral_Stream_Visual
lh_VMV2,2.44376,-0.0195622,53.9094,4.97472,,,visual,Ventral_Stream_Visual
lh_VMV3,2.62653,-0.0211122,28.3476,-8.15772,0.790039,0.658477,visual,Ventral_Stream_Visual
lh_VVC,2.96972,-0.0207678,-12.2579,14.7245,-0.235584,1.32694,visual,Ventral_Stream_Visual
lh_a10p,2.46865,-0.0270605,-8.65529,34.0457,,,association,Orbital_and_Polar_Frontal
lh_a24,2.95242,-0.022802,-77.4891,25.7798,-1.78344,-1.13557,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_a24pr,3.06836,-0.0271829,-63.0749,-22.5897,-1.40209,-1.9079,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_a32pr,2.89937,-0.0227771,-53.7576,-9.04169,-1.28071,-1.40903,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_a47r,2.82754,-0.0282817,-14.3674,17.0553,-0.295698,1.00363,association,Inferior_Frontal
lh_a9-46v,2.57107,-0.0274401,-2.2259,46.9653,-0.059806,1.18985,association,Dorsolateral_Prefrontal
lh_d23ab,3.23603,-0.0314878,21.4211,4.17989,0.275201,-0.533134,association,Posterior_Cingulate
lh_d32,3.00665,-0.0234559,-47.0246,15.2432,-1.14663,-0.251635,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_i6-8,2.91405,-0.0144509,-8.37832,-31.1224,0.339133,-0.637269,association,Dorsolateral_Prefrontal
lh_p10p,2.44593,-0.0274797,10.1327,29.0621,,,association,Orbital_and_Polar_Frontal
lh_p24,3.20421,-0.0245201,-63.049,7.08644,,,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_p24pr,3.01453,-0.0287699,-52.943,0.521567,-0.928579,-0.633267,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_p32,2.61805,-0.026112,-59.3401,35.4825,-1.30067,-0.0990243,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_p32pr,2.88067,-0.0204649,-41.3364,11.1181,-0.53642,-0.0325678,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_p47r,2.54788,-0.0226926,-0.441818,11.904,-0.110282,0.467724,association,Inferior_Frontal
lh_p9-46v,2.6387,-0.0227223,12.8965,18.5929,0.48793,0.552504,association,Dorsolateral_Prefrontal
lh_pOFC,2.82892,-0.00464698,-88.0522,34.5922,-1.6328,0.300044,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_s32,2.56108,-0.0284981,-56.38,44.6345,-1.40622,-0.0767321,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_s6-8,3.02453,-0.0160121,-39.2862,20.6581,,,association,Dorsolateral_Prefrontal
lh_v23ab,3.06394,-0.0236412,15.8275,-16.2512,,,association,Posterior_Cingulate
