gene	PLS1	PLS2	C1	C3
SRRM3	4.78356	-0.410105	0.536969	-0.126844
SRRM4	3.63964	1.35973	0.321932	0.371429
SRSF1	11.3537	2.20729	0.805203	0.0147475
SRSF11	5.91707	-0.760294	0.360891	0.0291573
SRSF12	-8.76908	3.50822	-0.781891	0.251274
SRSF8	9.4358	0.105686	0.74339	0.183386
SRXN1	3.59899	-0.230278	0.732616	0.228934
SSBP1	-12.415	-0.72765	-0.567925	-0.0137584
SSBP2	-2.2935	-0.419219	-0.514626	-0.230184
SSBP3	5.24311	0.682663	0.563916	0.0702063
SSBP4	-5.01438	-0.234367	-0.478942	0.11758
SSC4D	-6.1175	-0.990896	-0.554874	-0.079456
SSC5D	-4.22475	-0.527937	-0.45889	-0.221389
SSH3	15.4092	2.11981	0.761987	-0.172823
SSR4	-8.61904	0.155761	-0.659642	0.0453021
SSR4P1	-6.89152	0.277967	-0.745613	0.059278
SSSCA1	-14.3067	0.250363	-0.831211	0.0119618
SST	-11.2185	1.05213	-0.887669	-0.0837118
SSTR1	-24.0072	3.18967	-0.967168	0.116061
SSTR2	-15.6572	-1.04957	-0.802014	0.126837
SSX2IP	2.16078	1.24473	0.39463	0.342949
ST18	2.89792	-3.3374	0.159761	-0.385235
ST20	-15.7425	1.47381	-0.890752	-0.0619141
ST3GAL1	-1.61258	-4.30616	-0.0522303	-0.348447
ST3GAL2	3.64376	-1.77326	0.557236	-0.235156
ST3GAL3	3.75432	3.02113	0.547277	0.346874
ST3GAL5	3.43402	-0.680258	0.690332	-0.199106
ST3GAL6	13.2178	-2.21744	0.83767	-0.0105465
ST3GAL6-AS1	9.34219	-3.538	0.810125	-0.137105
ST5	-7.43124	1.38222	-0.766657	-0.101411
ST6GAL1	-2.4533	0.791723	-0.548113	0.0283128
ST6GAL2	-0.758082	0.92535	-0.32233	0.118479
ST6GALNAC1	7.73132	-0.81045	0.682824	-0.13951
ST6GALNAC3	1.35519	-4.73058	0.152634	-0.506426
ST6GALNAC5	-9.53767	8.32376	-0.716356	0.485889
ST6GALNAC6	-9.13797	1.344	-0.748429	0.0583711
ST7-AS1	0.886288	2.54317	-0.278945	-0.24668
ST7L	5.28913	1.18422	0.399309	-0.0243016
ST8SIA1	9.71348	1.47934	0.847065	0.0384663
ST8SIA3	-1.60792	3.57606	-0.133081	0.578348
ST8SIA4	-3.07284	1.08529	-0.509026	-0.095865
ST8SIA5	3.76512	1.06139	0.719981	0.204647
STAB1	-2.99697	-2.45014	-0.592786	-0.159322
STAC2	9.00951	-0.00263415	0.884206	-0.0897816
STAG1	2.37264	0.670803	0.465074	-0.0785155
STAG3L2	2.37416	0.95228	-0.155432	-0.0418565
STAG3L4	6.60045	0.414141	0.819476	0.0693265
STAMBP	4.12153	-4.23417	0.422359	-0.383606
STAMBPL1	9.49797	9.88614	0.528893	0.578095
STAR	1.58468	0.410967	0.603286	0.108658
STARD10	7.417	-1.58007	0.773996	-0.000482584
STARD3NL	-9.33402	-1.29691	-0.611552	-0.0882111
STARD4	-2.06479	-1.10683	0.159754	0.420637
STARD5	9.67611	1.93309	0.874733	0.0512593
STARD9	13.8946	-2.70662	0.727408	-0.277543
STAT1	2.56568	-0.764969	0.324926	-0.151161
STAT4	10.2945	4.94936	0.798452	0.299022
STAT6	-0.656663	2.06589	-0.0848877	0.606566
STAU2	8.40883	1.0134	0.864894	0.167331
STBD1	-3.94065	3.30012	-0.248527	0.230508
STEAP1	-1.96894	6.74772	-0.196311	0.608554
STEAP2	3.93019	3.48886	0.645429	0.388005
STIM1	-10.793	-1.4439	-0.715315	0.193937
STIM2	5.9788	-2.29249	0.704519	0.0335952
STK10	-1.24705	-3.77132	-0.233682	-0.484677
STK11IP	3.71148	1.57987	0.0754241	-0.0614687
STK17A	-10.0908	0.842357	-0.68461	-0.146598
STK17B	-2.53368	1.65075	-0.595877	-0.251439
STK25	-10.2266	1.83121	-0.846389	0.161967
STK26	3.91023	-2.6031	0.645645	0.00923097
STK31	0.488062	-0.113972	-0.346427	-0.357482
STK32C	-11.0333	1.11195	-0.781669	0.173526
STK33	1.79318	-0.894663	0.0826981	-0.647439
STK36	9.0232	2.39625	0.433663	-0.0384694
STK38L	9.96477	2.80187	0.777517	0.214983
STK39	-0.879862	-2.28453	0.146159	-0.121642
STK40	5.62219	1.0567	0.573162	0.0102879
STMN1	-2.73553	2.99006	-0.629644	0.360439
STMN2	-1.89939	0.651572	-0.22893	0.178617
STN1	4.77891	-0.51001	0.765011	0.105583
