label,CT,dCT,PLS1,PLS2,C1,C3,system,cortex
lh_a32pr,2.89937,-0.0227771,-59.776,-8.23146,-1.28071,-1.40903,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_a47r,2.82754,-0.0282817,-12.9419,15.4562,-0.295698,1.00363,association,Inferior_Frontal
lh_a9-46v,2.57107,-0.0274401,-3.67864,38.4209,-0.059806,1.18985,association,Dorsolateral_Prefrontal
lh_d23ab,3.23603,-0.0314878,16.5349,7.61971,0.275201,-0.533134,association,Posterior_Cingulate
lh_d32,3.00665,-0.0234559,-50.6466,14.1793,-1.14663,-0.251635,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_i6-8,2.91405,-0.0144509,-2.28179,-23.7369,0.339133,-0.637269,association,Dorsolateral_Prefrontal
lh_p10p,2.44593,-0.0274797,5.26856,28.0335,,,association,Orbital_and_Polar_Frontal
lh_p24,3.20421,-0.0245201,-65.9793,3.27494,,,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_p24pr,3.01453,-0.0287699,-47.2656,-4.22937,-0.928579,-0.633267,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_p32,2.61805,-0.026112,-62.962,28.8754,-1.30067,-0.0990243,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_p32pr,2.88067,-0.0204649,-36.3554,4.27493,-0.53642,-0.0325678,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_p47r,2.54788,-0.0226926,-4.94867,13.6827,-0.110282,0.467724,association,Inferior_Frontal
lh_p9-46v,2.6387,-0.0227223,12.9863,11.8719,0.48793,0.552504,association,Dorsolateral_Prefrontal
lh_pOFC,2.82892,-0.00464698,-83.2817,26.8097,-1.6328,0.300044,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_s32,2.56108,-0.0284981,-60.095,33.9614,-1.40622,-0.0767321,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_s6-8,3.02453,-0.0160121,-32.1835,12.7379,,,association,Dorsolateral_Prefrontal
lh_v23ab,3.06394,-0.0236412,14.1744,-9.449,,,association,Posterior_Cingulate
