gene	thinning_Z_ds0	thinning_Z_ds25	thinning_Z_ds50	U_ds25_thinning	rank_ds25	decile_ds25
OR14I1	5.8248	5.573	5.1883	0.019144	319	10
METTL21C	5.7231	5.5643	5.51	0.024213	320	10
LONRF2	5.6828	5.5603	5.5799	0.014901	321	10
MKL2	5.6152	5.5482	5.506	0.015615	322	10
C19orf12	5.8233	5.5411	5.224	0.014646	323	10
PLEKHA1	5.4141	5.5369	5.6185	0.015893	324	10
SMC1A	5.4663	5.5329	5.5896	0.01416	325	10
TSHZ2	5.6438	5.531	5.4022	0.021261	326	10
ST8SIA3	5.697	5.5166	5.3217	0.019908	327	10
YWHAG	5.6878	5.5057	5.1848	0.02108	328	10
BASP1	5.939	5.5004	5.1582	0.017388	329	10
YWHAH	5.6879	5.4951	5.2256	0.012729	330	10
CDKN3	5.5576	5.4943		0.018516	331	10
C1S	5.7207	5.4905	5.108	0.014825	332	10
FUT9	5.5287	5.4859	5.4791	0.021386	333	10
NPRL2	5.6007	5.4783	5.2786	0.021249	334	10
RFTN1	5.5	5.4749	5.4892	0.017549	335	10
ADTRP	5.7174	5.4627	5.0521	0.016098	336	10
TBC1D24	5.4672	5.4591	5.6081	0.013397	337	10
ZNF829	5.5199	5.4578		0.01926	338	10
DOCK9-AS2	5.598	5.4572		0.021823	339	10
BRWD1	5.6263	5.4571	5.3669	0.0095013	340	10
TRAPPC9	5.7329	5.4533	5.1326	0.020776	341	10
BATF3	5.6472	5.4531	5.2495	0.0077544	342	10
DRC1	5.566	5.45	5.3811	0.019858	343	10
TDRKH	5.8279	5.4487	5.0409	0.015087	344	10
TNNC2	4.9929	5.4334	5.912	0.010402	345	10
HPCAL1	5.5756	5.4322	5.3445	0.013924	346	10
GRIA2	5.5439	5.4319	5.3161	0.019533	347	10
NUDT9P1	5.5909	5.4296	5.2772	0.021279	348	10
SND1	5.5139	5.428	5.2602	0.017543	349	10
CHD5	5.7218	5.4254		0.018722	350	10
P2RX5	5.8659	5.4232	4.8982	0.012774	351	10
DUSP3	5.671	5.4167	5.1883	0.017292	352	10
SVOP	5.7107	5.4157	5.0151	0.012	353	10
LRRC75B	5.5607	5.4098	5.3428	0.021633	354	10
LPL	5.5909	5.4045	5.2814	0.018985	355	10
AMER3	5.441	5.4035	5.311	0.01738	356	10
HPS6	5.5188	5.3961		0.022178	357	10
LARP1	5.5654	5.3948	5.3486	0.01129	358	10
RYK	5.7188	5.3876	5.1371	0.022576	359	10
STK32C	5.7258	5.3825	4.8751	0.010648	360	10
DEPDC5	5.3266	5.3823	5.4554	0.016734	361	10
UBE2Z	5.6566	5.3815	4.8813	0.010619	362	10
PRNP	5.547	5.3679	5.0778	0.014461	363	10
CELF4	5.4711	5.3665	5.2505	0.015265	364	10
TLE3	5.5269	5.364		0.017249	365	10
SYT14	5.6074	5.3578		0.021959	366	10
