gene	DK_PLS2_matchedX	DK_PLS1_dCTonly_matchedX
BCAN	-2.3872	-2.72742
BCAR1	1.84313	2.67406
BCAR3	1.98086	0.581743
BCAS1	-3.9263	-2.19809
BCAT1	0.32242	1.22129
BCHE	-3.94263	-3.51973
BCKDK	2.96122	0.748235
BCL11A	0.035905	1.14277
BCL11B	0.534065	-0.0388192
BCL2	0.0186415	-0.327447
BCL2A1	-1.34636	-2.08166
BCL2L10	0.168353	-0.853489
BCL2L13	2.13182	2.23697
BCL2L2	3.83059	4.61469
BCL3	-0.452541	1.23761
BCL6	1.93294	0.969027
BCL6B	-0.267859	0.830798
BCL7A	2.14418	3.12504
BCL7C	-0.639361	-1.79977
BCLAF3	-0.505851	-1.49573
BCO2	-3.19552	-0.765517
BCOR	0.072298	1.06037
BCR	0.592062	-1.17724
BCRP2	0.816576	-1.01156
BDKRB1	-4.615	-2.87564
BDKRB2	-2.21643	-2.69085
BDNF	1.8952	0.49458
BEAN1	-0.6873	0.427551
BECN1	1.70061	2.25154
BEGAIN	1.23388	-0.612068
BEND5	4.16291	4.08829
BEND6	-0.740824	0.911858
BEND7	-5.60795	-4.12364
BEX1	2.75661	-0.0593392
BEX2	4.96391	0.463236
BEX4	-0.755224	-1.37383
BFSP1	2.01822	-0.551543
BHLHB9	0.112308	-0.303452
BHLHE22	-2.68929	-1.84314
BHLHE40	0.598186	1.73094
BHLHE41	-0.791158	1.11229
BHMT2	-1.03649	-2.72211
BICD1	0.970899	1.79491
BICDL1	0.407545	1.41056
BICDL2	0.496073	1.20744
BICRAL	3.02684	3.49362
BID	-3.31102	0.108153
BIN3	1.56777	2.1969
BIRC3	1.00132	-1.34106
BLCAP	3.69217	0.238903
BLM	0.0105928	-0.354974
BLMH	-1.85788	0.444586
BLNK	-3.10185	-3.30798
BLOC1S6	0.601755	-1.43132
BLVRB	-2.96729	-3.75261
BMP2	-0.776099	0.531578
BMP8A	-2.33893	-0.685566
BMP8B	-1.33217	-0.796524
BMPR1B	-1.27809	-1.63033
BMS1	1.54603	2.34697
BMS1P1	-0.000706477	1.43384
BMS1P2	-1.42717	0.554209
BMS1P20	2.06421	2.5162
BMS1P4	-1.36721	0.856476
BNIP2	-2.99186	-3.46169
BNIP3	2.31617	2.10132
BOLA3	0.0219507	0.574376
BOLA3-AS1	-0.089155	0.135591
BORCS5	5.46716	2.5262
BORCS7	-0.0442063	-1.51427
BPHL	0.278043	-1.67392
BRAF	1.21136	2.32138
BRCA1	-0.879695	0.464225
BRD2	-6.64985	-2.51554
BRD7	-1.13062	-2.13584
BRD8	3.46002	3.9481
BRICD5	1.96138	2.80409
BRINP1	-0.326315	1.23926
BRINP2	-1.01535	0.453888
BRINP3	-0.0887819	0.0367943
BRK1	3.67222	0.628042
BRMS1	-0.813068	-1.50401
BRMS1L	3.05476	-0.406499
BRSK1	-1.81596	0.206207
BRSK2	-2.86687	0.490334
BRWD1	7.04342	0.189038
BRWD3	-0.465908	1.32009
BSDC1	-0.381901	1.01372
BSN	4.28317	1.41248
BSPRY	1.97007	0.430686
BTBD1	4.25107	1.94931
BTBD11	4.27971	3.7455
BTBD17	-5.12007	-4.45095
BTBD3	-2.26021	-0.19656
BTBD7	2.92984	1.89214
BTBD9	0.920116	-1.21785
BTC	0.33979	-1.39751
BTG1	-2.52364	-2.68929
BTG3	-1.49356	-1.96279
BTG3-AS1	-1.1602	-0.85316
BTN2A1	-0.863267	1.16226
BTN2A2	-6.11833	-2.56784
BTN3A1	-1.98625	-0.942283
BTN3A2	-3.40095	-3.44736
BTN3A3	-1.13187	0.0854126
BTNL9	-1.54442	-2.86668
BTRC	2.73188	0.438013
BUB1B	-0.583128	-0.0114355
BUB3	-0.756789	0.886267
BUD13	1.04369	2.41051
BVES	-0.3949	0.445489
BYSL	3.68824	1.42732
BZW2	0.885789	1.36371
C10orf105	-5.56834	-4.92874
C11orf1	-2.15141	-2.66651
C11orf24	0.270249	1.17449
C11orf54	-2.75692	0.0472553
C11orf71	-0.215803	-0.708112
C11orf74	2.60326	1.67948
C11orf87	5.09269	3.66459
C11orf95	3.43205	0.704985
C11orf96	-2.71359	-2.52313
C11orf97	1.20606	-1.3049
C12orf10	0.152489	0.733122
C12orf29	4.07078	2.87856
C12orf4	7.61597	4.95607
C12orf42	0.197057	-0.862914
C12orf45	0.991957	-1.38347
C12orf49	0.202694	0.817592
C12orf54	1.35254	2.38385
C12orf57	0.695262	2.24103
C12orf73	3.03713	-0.493476
C12orf75	-5.86126	-3.87564
C12orf76	2.38904	0.978215
C14orf119	-0.110795	-0.171926
C14orf132	-0.0140406	-0.608926
C14orf177	-3.46704	-2.53801
C15orf41	-0.637744	0.656055
C15orf59	-4.7186	-3.26837
C16orf45	2.93686	3.21549
C16orf58	4.4604	0.731626
C16orf72	1.3233	2.02626
C16orf74	-1.59245	-0.522815
C16orf87	7.43781	3.67382
C16orf89	-0.992869	-1.66831
C16orf95	1.80572	-0.411313
C17orf100	1.08351	2.27024
C17orf51	0.338462	-1.27627
C17orf67	2.3397	-0.457013
C17orf75	0.189871	1.62822
C18orf25	4.01621	3.2833
C19orf12	4.92865	1.25295
C19orf25	-2.72724	0.440111
C19orf57	1.48516	0.96775
C19orf70	1.86067	-0.246937
C19orf73	1.40635	2.23786
C1GALT1	2.02453	0.577957
C1QA	-2.18468	-2.68757
C1QB	-2.19353	-2.59722
C1QC	-2.78693	-2.93283
C1QL1	1.17505	-1.22933
C1QL2	1.37222	-0.778892
