gene	dCT + CT|DK	dCT alone|DK	NSPN PLS2	AHBA C3	AHBA C1	snRNAseq PC1	snRNAseq PC1 (U01)	dCT + CT|HCP	dCT alone|HCP
ACCN5			-2.13054						
ACCS	-1.44757	-2.30538	-5.13709			0.000180989	0.000287811		
ACCSL			0.480295			1.82567e-05	0.00013367		
ACD	1.28334	1.65491	4.37192			0.000726415	0.00152006		
ACE	2.68517	3.32995	-3.27438			0.000407514	0.000235625		
ACE2			-5.12075			-7.76173e-06	0.000144856		
ACER1			-2.78917			0.000331143	0.00112387		
ACER2			3.22939			0.0030641	0.00239697		
ACER3	0.301381	1.38994	1.43217	-0.167412	0.506823	-0.0183389	0.00820176	0.0328713	0.52178
ACHE	1.72058	1.47985	1.35455	0.0495481	0.219395	0.00171003	0.00190495	-0.124096	-0.309874
ACIN1			-3.39169			-0.000802529	0.00606725		
ACKR1	0.11682	-0.562919	-0.356952	0.343167	-0.275676			-1.52372	-2.18805
ACKR2						-8.30336e-05	6.26309e-05		
ACKR3	1.67393	-0.646428	-2.85686	0.00417917	-0.77645	-0.00046073	-0.00032176	3.5907	1.76316
ACKR4	-2.69378	-1.27754				0.000249373	0.000528207		
ACLY			-2.90903			0.00200878	0.00241995		
ACMSD			-0.177572			0.000816228	0.00175946		
ACO1	-2.89974	-2.59108	-3.44916	-0.494857	-0.0145445	-0.000625856	0.00295859	-2.14649	-2.24727
ACO2	-0.849583	-2.03377	-2.90764	-0.231314	-0.361834	0.000621923	0.00535675	-0.577748	-1.0441
ACOT1						-2.7028e-05	0.000278004		
ACOT11			-1.98409			-0.00845963	0.00221588		
ACOT12			-5.5816			0.00084129	0.000753835		
ACOT13	-0.975472	-1.90435	-1.63379	-0.0880461	-0.195518	-0.000554336	0.00128614	-2.46009	-3.27025
ACOT2	1.18186	-1.25546	-2.20673	0.0494165	-0.887183	0.000255504	0.000475834	2.4343	0.224789
ACOT4			1.61375			0.000119558	0.000320672		
ACOT6			2.90546			0.000198947	0.000920452		
ACOT7	-1.74104	-0.991557	2.56115			0.0115822	0.00761488		
ACOT8	1.98613	-0.762606	3.62038	0.0956993	-0.645634	0.00179061	0.00272081	-0.130266	-1.19753
ACOT9			-5.42554			4.21289e-05	0.00180255		
ACOX1			-0.800246			0.000495961	0.00308559		
ACOX2	-0.575347	-1.64676	-2.5576	-0.157822	-0.558195	-0.000500567	9.30172e-05	2.19974	1.51037
ACOX3	3.40287	0.895706	3.47968	0.154876	-0.697314	0.00286746	0.00243934	3.48584	1.49291
ACOXL			-1.86539			0.000391175	0.00189456		
ACP1	-0.139824	-1.76041	-1.6713	0.116133	-0.817768	0.00114458	0.00132208	-0.217799	-1.03233
ACP2			-0.37798			0.000395831	0.00188448		
ACP5			-3.23207			-5.20135e-06	5.79976e-06		
ACP6			-2.57655			-0.00252467	0.00108284		
ACPP	-1.00165	-1.54371	-0.815242						
ACPT			2.07184						
ACR	0.973957	0.741256	0.609888						
ACRBP			-3.04712			7.0905e-05	0.000107982		
ACRV1			-0.646066			0.000307592	0.000437865		
ACSBG1	-2.95394	-3.5934	-4.04022			-0.0167351	-0.00250397		
ACSBG2			-2.00437			0.000638959	0.0012534		
