gene,gene_original,PLS1_z,PLS2_z
RASD1,RASD1,-4.588733,6.696647
SUV39H1,SUV39H1,-9.000958,6.693206
COASY,COASY,0.489074,6.690842
SERPINF1,SERPINF1,-10.490382,6.690474
ZNF79,ZNF79,0.047496,6.680597
AC011472.2,AC011472.2,1.990911,6.676477
KLHL14,KLHL14,-6.366828,6.670894
BRPF3,BRPF3,-2.965997,6.63918
MYSM1,MYSM1,4.436708,6.63767
KIAA0408,KIAA0408,6.088458,6.629799
KIAA1549L,C11orf41,-3.371108,6.626816
ACTN4,ACTN4,8.159167,6.626414
TDRKH,TDRKH,-13.473259,6.620845
SLC35C1,SLC35C1,2.603999,6.616629
PSMG3,PSMG3,-0.634367,6.600059
RTN4IP1,RTN4IP1,-6.04589,6.578092
SHROOM2,SHROOM2,9.670211,6.576941
GPR20,GPR20,-1.184786,6.574709
INSL3,INSL3,1.730799,6.573338
GFOD2,GFOD2,-9.803243,6.573117
PARS2,PARS2,-1.448651,6.567133
SHROOM3,SHROOM3,-1.480609,6.562956
ARPP19,ARPP19,-13.579523,6.541722
SLITRK5,SLITRK5,-1.458343,6.540983
RIT2,RIT2,-7.238792,6.530012
ZBTB16,ZBTB16,9.202784,6.522746
MOB2,MOB2,4.558105,6.520663
ALS2CL,ALS2CL,-0.853867,6.517888
NECTIN1,PVRL1,-9.434773,6.514682
APOO,APOO,-9.329974,6.514475
ATP8B1,ATP8B1,12.927192,6.509833
DHRS7B,DHRS7B,-8.821357,6.50574
TRAPPC9,TRAPPC9,-6.821384,6.501954
LOC650621,LOC650621,-4.474958,6.490627
NPY1R,NPY1R,-13.212156,6.490618
PLAG1,PLAG1,3.02968,6.490287
PRSS12,PRSS12,-5.808155,6.487838
SDK1,SDK1,-3.564035,6.485512
MYO1B,MYO1B,0.171481,6.484999
CHML,CHML,8.811495,6.478536
CHRNA2,CHRNA2,3.454619,6.475773
EHD2,EHD2,9.566406,6.475689
TNFSF13B,TNFSF13B,-4.836039,6.470654
NR3C1,NR3C1,15.244064,6.470385
ZMAT4,ZMAT4,17.428756,6.46811
THY1,THY1,-5.851778,6.454338
LRRC73,C6orf154,-12.425188,6.453475
ARL6IP5,ARL6IP5,3.586561,6.453087
CYP46A1,CYP46A1,-13.584817,6.45052
LAMB1,LAMB1,-10.011437,6.446413
NOVA1,NOVA1,0.998356,6.442295
CHGA,CHGA,17.29275,6.441067
GHDC,GHDC,3.76038,6.439024
PRKCB,PRKCB,1.141664,6.437264
TSTA3,TSTA3,-10.646331,6.434476
MSANTD1,MSANTD1,-18.311437,6.432492
DBH,DBH,-9.344074,6.429499
SH3BGRL2,SH3BGRL2,-1.37005,6.427665
RBP5,RBP5,-2.046379,6.422213
STRC,STRC,16.476358,6.412983
FADS3,FADS3,-15.640029,6.412083
NRBF2,NRBF2,0.346663,6.411696
MAL2,MAL2,-5.754329,6.404788
FEM1C,FEM1C,1.187235,6.400457
SCFD2,SCFD2,-6.560901,6.399521
TYRP1,TYRP1,-5.527761,6.395688
CA4,CA4,-7.038187,6.391317
C5orf30,C5orf30,-8.113387,6.389085
USPL1,USPL1,4.466671,6.387294
DKK2,DKK2,-4.445752,6.378074
DUSP3,DUSP3,-9.112019,6.377969
ODF2,ODF2,9.655465,6.377086
KCNQ5,KCNQ5,6.671181,6.370431
EXTL2,EXTL2,16.934704,6.369395
ATP2B1,ATP2B1,4.114586,6.364807
HARBI1,HARBI1,-1.974931,6.356236
RAB17,RAB17,-3.379248,6.350094
TUBA3C,TUBA3C,-4.664234,6.349977
MPL,MPL,-8.502832,6.349893
TUBA4B,TUBA4B,-8.286376,6.335385
GPR116P2,GPR116P2,-7.367272,6.334473
RPH3A,RPH3A,5.182687,6.329262
TUBA4A,TUBA4A,-9.511016,6.329155
SCN1A,SCN1A,16.139492,6.318813
COG8,COG8,-7.409861,6.317248
SLC6A7,SLC6A7,-1.868624,6.314716
ASGR1,ASGR1,3.578062,6.314446
SLCO4A1,SLCO4A1,7.436943,6.313233
WIPF2,WIPF2,-2.464327,6.302218
THEM5,THEM5,-8.642171,6.300002
ATP7A,ATP7A,-3.106693,6.293117
PLPP7,PPAPDC3,10.245355,6.289629
PIP5K1B,PIP5K1B,1.767853,6.282487
ANKRD34C,ANKRD34C,14.59259,6.280625
PEX11B,PEX11B,-6.73499,6.275932
NLK,NLK,1.636099,6.25685
MPND,MPND,-11.418588,6.252879
SYT13,SYT13,-5.02283,6.24963
AGBL4,AGBL4,-1.370292,6.249489
GALNTL5,GALNTL5,-8.240457,6.246785
AMDHD1,AMDHD1,-2.279922,6.246457
LY6D,LY6D,5.322577,6.242406
CKB,CKB,2.179747,6.235609
GRWD1,GRWD1,2.609568,6.232287
CETN4P,CETN4P,-1.377158,6.230225
B3GNTL1,B3GNTL1,-10.938062,6.206223
JMY,JMY,0.610344,6.204907
BAG5,BAG5,4.42485,6.198074
COL11A1,COL11A1,-10.612325,6.197173
KAT7,MYST2,-7.009083,6.194594
FUT9,FUT9,-8.37684,6.187135
ALKBH6,ALKBH6,-6.994078,6.187107
SCN1B,SCN1B,14.008934,6.178728
IGSF3,IGSF3,-0.676901,6.176167
CCL27,CCL27,15.44505,6.174309
CFAP74,C1orf222,2.098554,6.170588
TIGAR,C12orf5,3.952486,6.165312
SERPINI2,SERPINI2,-8.627328,6.162372
C5orf34,C5orf34,-10.240589,6.160021
LOC84989,LOC84989,-10.852935,6.156081
DCAF6,IQWD1,-3.018622,6.149182
FAM47E,FAM47E,-12.005485,6.147245
PLEKHG5,PLEKHG5,-0.029738,6.146491
FBXO9,FBXO9,7.952963,6.145754
CADPS2,CADPS2,13.538884,6.133607
TFIP11,TFIP11,-5.8993,6.128476
KCTD1,KCTD1,4.046183,6.123142
ZNF202,ZNF202,-8.496939,6.118174
ABHD8,ABHD8,-1.94837,6.107474
FES,FES,5.149709,6.105317
NUDT4P1,NUDT4P1,-6.09787,6.09913
LOC442381,LOC442381,-3.744351,6.098442
KLF9,KLF9,15.963907,6.093778
REEP5,REEP5,-2.594739,6.093687
CDKN3,CDKN3,-2.93014,6.08454
ANAPC2,ANAPC2,-7.194501,6.083809
AMIGO2,AMIGO2,-15.849064,6.08098
FSTL4,FSTL4,4.428538,6.076719
FLJ33996,FLJ33996,8.363942,6.065448
CLDN20,CLDN20,-4.300292,6.060954
SLC30A3,SLC30A3,-7.853255,6.055392
KCND2,KCND2,-4.358747,6.052097
KCNT2,KCNT2,-6.579543,6.04527
PKD2L1,PKD2L1,-9.492122,6.04146
AQP9,AQP9,-8.417109,6.038164
EPHB3,EPHB3,-1.939449,6.035221
RNF40,RNF40,-7.835785,6.035157
PAQR3,PAQR3,7.466261,6.033986
NDEL1,NDEL1,-3.64684,6.022265
SHISAL1,KIAA1644,-17.022638,6.019392
CACNG8,CACNG8,4.421875,6.014543
AFG1L,LACE1,-0.38576,6.008292
ESYT1,ESYT1,3.821894,6.007678
LRSAM1,LRSAM1,-10.823262,6.006973
SLC16A14,SLC16A14,-2.716467,6.005335
CHST10,CHST10,0.699845,6.001052
ARC,ARC,15.389077,5.999495
SNX32,SNX32,-9.555875,5.991997
RABEPK,RABEPK,-1.621229,5.990085
POM121L8P,POM121L8P,-8.739984,5.9886
KDM3A,KDM3A,-0.025907,5.983781
ATP6V1C1,ATP6V1C1,-12.700357,5.983373
PIK3R1,PIK3R1,2.100852,5.983365
FNIP2,FNIP2,-8.873818,5.980203
PEBP4,PEBP4,-4.775561,5.975689
