method	trait_arm	score	disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
CT	BIP_eur	raw	BIPeur	0p05	slope_PC2	full	8596	7198	1350	1449	-0.0527413054406523	0.0407020327494459	0.195233254533135	0.0182145491545089	0.0132703493789343	0.169928615129827	0.0709558545951613	0.042809629949811	1.65747414024247	0.0974236528869018
CT	BIP_eur	raw	BIPeur	0p1	slope_PC2	full	8596	7198	1350	1449	-0.0369020974881401	0.0418814305673451	0.378390265991289	0.0194400175739063	0.0135083406657688	0.150163413913837	0.0563421150620464	0.0439961952877662	1.2806133506211	0.200329508315704
CT	BIP_eur	raw	BIPeur	0p5	slope_PC2	full	8596	7198	1350	1449	-0.0470879644816529	0.0432899770579179	0.276875197956848	0.011522213076235	0.0139270094478679	0.408079098446024	0.0586101775578878	0.0454580812682485	1.28932361249541	0.197285605348402
CT	BIP_eur	raw	BIPeur	1	slope_PC2	full	8596	7198	1350	1449	-0.0570677823797355	0.0435967485068231	0.190723660949163	0.0142100351943877	0.0139903344768003	0.309805598354522	0.0712778175741232	0.0457679269833354	1.55737483150758	0.119381518107083
CT	BIP_eur	raw	BIPeur	1e-5	slope_PC2	full	8596	7198	1350	1449	0.021339877374231	0.0351321448243942	0.543659338340298	0.007241077387958	0.0117509127835889	0.537773430557174	-0.0140987999862729	0.0370399459686138	-0.380637703905392	0.703472099977972
CT	BIP_eur	raw	BIPeur	5e-8	slope_PC2	full	8596	7198	1350	1449	-0.0061157817075098	0.0348191270007082	0.860595396190241	0.0059950311320152	0.0118715777524425	0.613581506298941	0.0121108128395251	0.0367671716940703	0.329392016886582	0.741859401041618
CT	BIP_eur	raw	BIPeur	0p001	slope_PC3	EUR	4308	3601	691	726	0.0250589307475421	0.0455067089213001	0.582036458914841	-0.0110949297791555	0.016501593001869	0.501402079414644	-0.0361538605266976	0.0484153002299501	-0.746744528175672	0.455217785697409
CT	BIP_eur	raw	BIPeur	0p01	slope_PC3	EUR	4308	3601	691	726	0.0228794065255547	0.0462230146985985	0.620768436842456	-0.0328651083648127	0.0166480610215378	0.0484473961582049	-0.0557445148903674	0.0491445221577839	-1.13429762754419	0.256669724008809
CT	BIP_eur	raw	BIPeur	0p05	slope_PC3	EUR	4308	3601	691	726	0.0077023419920712	0.0486812024831117	0.874328458435405	-0.0192944494243783	0.0168992581095614	0.253643289403995	-0.0269967914164495	0.0515538952041552	-0.523661525662442	0.600513980212419
CT	BIP_eur	raw	BIPeur	0p1	slope_PC3	EUR	4308	3601	691	726	0.0169433066139437	0.0489813701861891	0.729510575448187	-0.0148796547380427	0.0169542479752552	0.380201312413755	-0.0318229613519863	0.0518521975969675	-0.61372444808101	0.539397429992746
CT	BIP_eur	raw	BIPeur	0p5	slope_PC3	EUR	4308	3601	691	726	0.006717861701782	0.0497973567990849	0.892726082698301	-0.014689526843368	0.0171038029013286	0.390484379203145	-0.02140738854515	0.0526748812479983	-0.406406014365025	0.684444301293596
CT	BIP_eur	raw	BIPeur	1	slope_PC3	EUR	4308	3601	691	726	-0.0092166978887306	0.0498698231971914	0.853426887160953	-0.0176429371185657	0.0171060917505234	0.302432166552042	-0.008426239229835	0.0527418834619524	-0.159763714845596	0.873067208227093
CT	BIP_eur	raw	BIPeur	1e-5	slope_PC3	EUR	4308	3601	691	726	0.0474640226491155	0.0458393277991049	0.300814770878423	0.0019970554933316	0.0165192793871583	0.903783299757272	-0.0454669671557839	0.0487119709311613	-0.933383853838244	0.350621813875103
CT	BIP_eur	raw	BIPeur	5e-8	slope_PC3	EUR	4308	3601	691	726	0.0114373315911344	0.0445969415104154	0.79766987483357	0.0243199608217771	0.0164604609333704	0.139637755886769	0.0128826292306427	0.04753230905977	0.271028895617996	0.786368808227909
CT	BIP_eur	raw	BIPeur	0p001	slope_PC3	full	8596	7198	1350	1449	0.0229695394789268	0.0331648058884877	0.488669131533641	-0.0092162723012281	0.0116306573129766	0.428146914099471	-0.0321858117801549	0.0351513078046723	-0.915636253393588	0.359857709971232
CT	BIP_eur	raw	BIPeur	0p01	slope_PC3	full	8596	7198	1350	1449	0.0120632322012214	0.0341801821631263	0.72418714109366	-0.0154144074484569	0.0118143036513744	0.192028984581142	-0.0274776396496783	0.0361735605219968	-0.759605613966848	0.447490362407586
CT	BIP_eur	raw	BIPeur	0p05	slope_PC3	full	8596	7198	1350	1449	0.0200278515274794	0.0389102571041545	0.606820692666415	0.0021941003047933	0.0132084011605751	0.868071998888627	-0.0178337512226861	0.0410898537504716	-0.434018366942505	0.664275103559425
