method	trait	trait_arm	discovery_ancestry	target_stratum	matched	score	discovery_gwas	phenotype	threshold	n	n_families	n_snps	beta	se	p	p_adj
PRSCS	INT	INT	EUR	full	no	raw	Savage & Jansen 2018 intelligence	slope_PC1	prscs	8596	7198	1084421	0.0094196351529838	0.0128310721960092	0.462892746549935	0.462892746549935
PRSCS	INT	INT	EUR	full	no	raw	Savage & Jansen 2018 intelligence	baseline_thickness	prscs	8596	7198	1084421	-0.0076687176187341	0.012694236374252	0.545786452952023	0.545786452952023
PRSCS	INT	INT	EUR	full	no	raw	Savage & Jansen 2018 intelligence	slope_PC2	prscs	8596	7198	1084421	0.0037737711970513	0.0130106604590687	0.771783662187655	0.771783662187655
PRSCS	INT	INT	EUR	EUR	yes	raw	Savage & Jansen 2018 intelligence	global_slope	prscs	4308	3601	1084421	0.0201036212442353	0.0155614809279942	0.196470111883907	0.196470111883907
PRSCS	INT	INT	EUR	EUR	yes	raw	Savage & Jansen 2018 intelligence	slope_PC1	prscs	4308	3601	1084421	0.0133257651206415	0.0162965669658296	0.41357535195012	0.41357535195012
PRSCS	INT	INT	EUR	EUR	yes	raw	Savage & Jansen 2018 intelligence	baseline_thickness	prscs	4308	3601	1084421	-0.0123855840389637	0.0164321250300183	0.451045551897056	0.451045551897056
PRSCS	INT	INT	EUR	EUR	yes	raw	Savage & Jansen 2018 intelligence	slope_PC3	prscs	4308	3601	1084421	0.0056245559514473	0.0165412609348785	0.733849629097002	0.733849629097002
PRSCS	INT	INT	EUR	EUR	yes	raw	Savage & Jansen 2018 intelligence	slope_PC2	prscs	4308	3601	1084421	-0.0039036261479957	0.0166195408410117	0.814312311535834	0.814312311535834
PRSCS	INT	INT	EUR	full	no	zanc	Savage & Jansen 2018 intelligence	slope_PC3	prscs	8596	7198	1084421	0.0117576789614054	0.0113285903824193	0.299358020636503	0.299358020636503
PRSCS	INT	INT	EUR	full	no	zanc	Savage & Jansen 2018 intelligence	global_slope	prscs	8596	7198	1084421	0.010797904099232	0.0107803749549363	0.316553855294955	0.316553855294955
PRSCS	INT	INT	EUR	full	no	zanc	Savage & Jansen 2018 intelligence	baseline_thickness	prscs	8596	7198	1084421	-0.0101071971951901	0.0111580304247087	0.365055351021733	0.365055351021733
PRSCS	INT	INT	EUR	full	no	zanc	Savage & Jansen 2018 intelligence	slope_PC2	prscs	8596	7198	1084421	0.0071718936855256	0.0114290964138718	0.530341378140247	0.530341378140247
PRSCS	INT	INT	EUR	full	no	zanc	Savage & Jansen 2018 intelligence	slope_PC1	prscs	8596	7198	1084421	0.0046704896738392	0.0112716558268579	0.678623690654811	0.678623690654811
SBayesR	BIP	BIP_eur	EUR	full	no	raw	PGC bip2024 EUR (O'Connell 2025)	slope_PC3	sbr	8596	7198	1051299	0.0193506940368271	0.0131722485145445	0.141857119679083	0.141857119679083
SBayesR	BIP	BIP_eur	EUR	full	no	raw	PGC bip2024 EUR (O'Connell 2025)	slope_PC1	sbr	8596	7198	1051299	-0.0146138272780678	0.0131120058949216	0.265081512414585	0.265081512414585
SBayesR	BIP	BIP_eur	EUR	full	no	raw	PGC bip2024 EUR (O'Connell 2025)	global_slope	sbr	8596	7198	1051299	-0.0081423106539723	0.012537869693792	0.51608669871248	0.51608669871248
SBayesR	BIP	BIP_eur	EUR	full	no	raw	PGC bip2024 EUR (O'Connell 2025)	baseline_thickness	sbr	8596	7198	1051299	-0.0074038190186285	0.0129451772099242	0.567380029179223	0.567380029179223
SBayesR	BIP	BIP_eur	EUR	full	no	raw	PGC bip2024 EUR (O'Connell 2025)	slope_PC2	sbr	8596	7198	1051299	0.0032162776296366	0.0132943369542764	0.808841702816052	0.808841702816052
SBayesR	BIP	BIP_eur	EUR	EUR	yes	raw	PGC bip2024 EUR (O'Connell 2025)	slope_PC1	sbr	4308	3601	1051299	-0.0292055351238915	0.0154988553943358	0.0595879548023711	0.0595879548023711
SBayesR	BIP	BIP_eur	EUR	EUR	yes	raw	PGC bip2024 EUR (O'Connell 2025)	slope_PC2	sbr	4308	3601	1051299	0.0176602175827799	0.0158052424777965	0.263903741292194	0.263903741292194
SBayesR	BIP	BIP_eur	EUR	EUR	yes	raw	PGC bip2024 EUR (O'Connell 2025)	global_slope	sbr	4308	3601	1051299	-0.0126657789690911	0.0148002065657205	0.392166867678867	0.392166867678867
SBayesR	BIP	BIP_eur	EUR	EUR	yes	raw	PGC bip2024 EUR (O'Connell 2025)	slope_PC3	sbr	4308	3601	1051299	-0.0088626488816782	0.0157218623507938	0.572978193229562	0.572978193229562
SBayesR	BIP	BIP_eur	EUR	EUR	yes	raw	PGC bip2024 EUR (O'Connell 2025)	baseline_thickness	sbr	4308	3601	1051299	-0.0005097161112812	0.0155897065612151	0.973918786117925	0.973918786117925
