method	trait	arm	score	disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
PRSCS	ASD	pooled	raw	ASD	prscs	slope_PC1	full	8082	6789	1250	1339	0.0208502181195713	0.0406175128270486	0.607792457505129	0.0117996608610004	0.0126258921476373	0.350048203057476	-0.00905055725857081	0.0424634117657041	-0.213137778671863	0.831219498453208
PRSCS	ASD	pooled	raw	ASD	prscs	slope_PC2	EUR	4116	3447	655	686	-0.0610564041133376	0.0528593702836674	0.248398154383749	-0.00242937400346656	0.0169262417874086	0.885882353749791	0.058627030109871	0.0553837286946963	1.05856054642066	0.289799962911394
PRSCS	ASD	pooled	raw	ASD	prscs	slope_PC2	full	8082	6789	1250	1339	-0.0313145704687211	0.0402225188027375	0.436367746030054	0.000441262557150739	0.0129233686497091	0.972762877402836	0.0317558330258719	0.0421725816099398	0.752997132582162	0.45145163710696
PRSCS	ASD	pooled	raw	ASD	prscs	slope_PC3	EUR	4116	3447	655	686	-0.0484934244677856	0.0513103971962545	0.344955004748825	-0.0194084131214259	0.0168861773388775	0.25048799335521	0.0290850113463597	0.0538954029270871	0.539656626850116	0.589433856868817
PRSCS	ASD	pooled	raw	ASD	prscs	slope_PC3	full	8082	6789	1250	1339	-0.0464507234180945	0.0397959921205454	0.243304180413063	-0.0226196282576565	0.0127068161574614	0.0751015069926825	0.023831095160438	0.0417019904404431	0.571461815341225	0.567686637148986
PRSCS	ASD	pooled	zanc	ASD	prscs	baseline_thickness	EUR	4116	3447	655	686	-0.0673305597139994	0.0393569266586458	0.0875656144457357	-0.0396608151990422	0.0173439840508724	0.0222719894995525	0.0276697445149572	0.0428518968851947	0.645706410362363	0.518469508307352
PRSCS	ASD	pooled	zanc	ASD	prscs	baseline_thickness	full	8082	6789	1250	1339	-0.0356530984722892	0.0295615680822127	0.228002637903048	-0.011861448031009	0.0119398582260613	0.320533974444241	0.0237916504412802	0.0318419153238755	0.747180255938968	0.454954760485986
PRSCS	ASD	pooled	zanc	ASD	prscs	global_slope	EUR	4116	3447	655	686	0.0165818164470977	0.0507692219471726	0.744043873239193	0.0156362592418712	0.0159213675611092	0.326123608605814	-0.000945557205226509	0.0530968686234705	-0.0178081538467326	0.9857918999632
PRSCS	ASD	pooled	zanc	ASD	prscs	global_slope	full	8082	6789	1250	1339	0.0329468702716938	0.0365152116033001	0.367045039434878	0.00233215787882722	0.0113013081274646	0.836514483054226	-0.0306147123928666	0.0381937226408977	-0.801563981618394	0.422805219649816
PRSCS	ASD	pooled	zanc	ASD	prscs	slope_PC1	EUR	4116	3447	655	686	-0.00282424237113546	0.0544124217456147	0.958618156825675	0.00324806914798188	0.0164561401706496	0.843544319019029	0.00607231151911734	0.0567362029998198	0.107027104354104	0.914767477086447
