section	readout	atlas	construction	trait	method	estimate	se	p	n	note	source
prs_scz2025	PRS beta (SD/SD): EUR weights -> pooled zanc (secondary)	hcp	1lmm	baseline_thickness	SBayesRC	0.011603	0.010866	0.28561	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR weights -> pooled zanc (secondary)	hcp	perregion	baseline_thickness	SBayesRC	0.012144	0.010855	0.26326	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR weights -> pooled zanc (secondary)	hcp	1lmm	baseline_thickness	PRSCSX	0.0021354	0.010777	0.84293	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR weights -> pooled zanc (secondary)	hcp	perregion	baseline_thickness	PRSCSX	0.0025478	0.010766	0.81293	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR GWAS -> EUR (primary)	hcp	1lmm	global_slope	CT	-0.044284	0.014624	0.019803	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR GWAS -> EUR (primary)	hcp	perregion	global_slope	CT	-0.050983	0.014772	0.0045082	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR GWAS -> EUR (primary)	hcp	1lmm	global_slope	PRSCS	-0.036081	0.01453	0.013059	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR GWAS -> EUR (primary)	hcp	perregion	global_slope	PRSCS	-0.040551	0.014673	0.0057427	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR GWAS -> EUR (primary)	hcp	1lmm	global_slope	SBayesR	-0.035153	0.014533	0.01561	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR GWAS -> EUR (primary)	hcp	perregion	global_slope	SBayesR	-0.042216	0.014671	0.00403	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR GWAS -> EUR (primary)	hcp	1lmm	global_slope	SBayesRC	-0.034832	0.014504	0.016373	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR GWAS -> EUR (primary)	hcp	perregion	global_slope	SBayesRC	-0.041819	0.014642	0.0043108	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR GWAS -> EUR (primary)	hcp	1lmm	global_slope	PRSCSX	-0.036697	0.014462	0.011205	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR GWAS -> EUR (primary)	hcp	perregion	global_slope	PRSCSX	-0.035039	0.014605	0.016479	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> pooled zanc (primary)	hcp	1lmm	global_slope	CT	-0.033268	0.010308	0.01003	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> pooled zanc (primary)	hcp	perregion	global_slope	CT	-0.032532	0.010507	0.015732	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> pooled zanc (primary)	hcp	1lmm	global_slope	PRSCS	-0.029276	0.010271	0.0043771	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> pooled zanc (primary)	hcp	perregion	global_slope	PRSCS	-0.02293	0.010373	0.027096	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> pooled zanc (primary)	hcp	1lmm	global_slope	SBayesR	-0.025478	0.010278	0.0132	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> pooled zanc (primary)	hcp	perregion	global_slope	SBayesR	-0.023386	0.010378	0.024257	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> pooled zanc (primary)	hcp	1lmm	global_slope	SBayesRC	-0.033712	0.010265	0.0010268	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> pooled zanc (primary)	hcp	perregion	global_slope	SBayesRC	-0.027551	0.010367	0.0078854	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> pooled zanc (primary)	hcp	1lmm	global_slope	PRSCSX	-0.026661	0.01024	0.0092442	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> pooled zanc (primary)	hcp	perregion	global_slope	PRSCSX	-0.018731	0.010342	0.070159	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): ancestry-matched composite -> pooled (primary)	hcp	1lmm	global_slope	CT	-0.031572	0.010342	0.018197	8596	score=raw; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
