GENE	thinning_Z_ds0	thinning_Z_ds25	thinning_Z_ds50	AHBA_C3
401399	5.1859	5.0274	4.8759	0.38588
8925	5.0206	5.0149	4.9224	NA
79575	5.1714	5.0056	4.9653	NA
80155	4.8543	5.0036	NA	NA
1122	4.3688	5.0028	5.5171	0.438588
10505	5.0446	5.0022	5.1556	0.305496
8491	5.0983	5.0005	NA	NA
10079	5.0901	4.9933	4.9135	0.31777
2114	4.5081	4.9885	5.2988	0.422626
65123	5.0684	4.9722	NA	NA
84935	5.1466	4.9702	4.6817	0.38679
3788	4.5673	4.9696	5.3959	0.47759
256536	5.0511	4.9695	4.9183	0.186302
221491	4.9587	4.9673	4.9868	0.0976741
155382	5.0705	4.9657	4.9816	0.128191
79065	5.0784	4.9619	NA	NA
113130	5.0301	4.9533	4.8393	0.595245
115827	5.1871	4.9508	4.5933	0.225803
50628	5.1036	4.9495	NA	NA
403313	5.0547	4.9445	NA	NA
55908	4.8353	4.9434	5.0857	0.483104
5324	4.8282	4.942	5.0256	0.128995
8814	5.0581	4.9391	4.7424	0.479693
6326	5.0361	4.9389	4.846	0.590206
91461	4.9366	4.936	4.9391	0.410139
5915	5.2093	4.9306	4.7196	0.570266
2673	5.1026	4.9287	NA	NA
93611	5.1438	4.9258	4.6855	0.417134
6775	4.9447	4.9197	4.9623	0.299022
2983	5.1427	4.9189	4.5907	0.456425
205860	5.2426	4.9113	4.6594	0.341275
9529	4.9433	4.8992	4.8315	0.474707
4837	4.7897	4.8872	4.9475	0.590033
115557	5.0937	4.8807	4.6839	NA
55071	5.0762	4.8749	4.6597	NA
80115	5.0603	4.8736	4.606	0.344448
1607	5.0122	4.8723	4.6811	0.558611
80204	4.8116	4.8717	NA	NA
8792	4.9813	4.8656	4.8683	0.471479
121665	4.9489	4.8643	4.8369	0.208841
84883	5.2131	4.8608	4.4853	0.23537
8507	5.1276	4.8556	4.5669	0.624148
55359	4.94	4.8553	4.914	0.37631
10248	4.8453	4.8526	NA	NA
219749	4.6161	4.8506	5.0679	0.469306
10048	4.9475	4.8499	4.713	0.479253
55228	4.9529	4.8413	4.7745	0.285182
283212	5.1994	4.8371	4.35	0.296408
151742	4.8588	4.8353	4.8483	0.114642
51127	5.0018	4.8328	4.6441	0.382664
7762	4.9831	4.8327	NA	0.442531
1948	5.0741	4.8316	4.5983	0.384488
9866	4.892	4.8232	4.7806	NA
280636	4.9152	4.8228	NA	NA
57128	4.8007	4.8198	4.7852	0.716121
2193	4.9491	4.8183	4.5913	NA
197407	4.8681	4.8141	4.761	NA
80169	5.1016	4.8136	4.436	0.28102
55432	4.4913	4.8102	5.1615	0.316191
7112	4.8609	4.8093	4.8208	0.359467
51701	4.8617	4.807	4.8213	0.586106
221662	4.8702	4.8018	4.7736	0.390758
3361	4.8566	4.7975	4.8135	0.518489
8655	5.1213	4.7942	4.1745	0.0613274
64225	4.642	4.7826	NA	NA
2911	5.0039	4.7815	4.5207	0.387072
28991	4.9656	4.7798	4.5983	NA
80034	4.7158	4.7763	4.7695	0.341452
10127	5.0715	4.7665	NA	NA
113	5.0574	4.766	4.4086	0.330942
10073	5.1262	4.7615	NA	0.110981
23037	4.9879	4.7613	4.5228	0.649279
7345	5.1597	4.7606	4.217	0.199933
23552	4.8429	4.76	4.7068	0.469854
64975	4.9484	4.76	NA	NA
26094	5.0415	4.7591	4.4269	0.497488
1316	4.9697	4.7497	4.4407	0.0599657
22887	4.9994	4.7436	NA	0.357961
8448	5.0801	4.7428	4.3124	0.427544
9378	4.8697	4.7423	4.625	0.695588
10370	4.5747	4.7353	4.7975	0.358354
863	4.9564	4.7326	4.544	0.203691
219738	4.763	4.7151	4.7214	0.398434
55968	4.8828	4.7098	4.3601	0.0195729
55665	4.646	4.7043	4.7215	NA
142679	5.0021	4.7027	NA	NA
23059	4.6605	4.7022	4.7293	NA
8204	4.5732	4.7013	4.8012	0.240101
51646	4.8992	4.7012	4.4055	0.397163
9411	4.7977	4.6971	4.6423	0.659289
1848	4.7551	4.6948	4.6422	0.31889
163255	4.6462	4.6867	4.6131	NA
3795	4.7327	4.6769	NA	NA
4886	4.8378	4.6655	4.4246	0.392324
166752	4.848	4.664	4.3442	0.389784
3082	4.8704	4.6601	4.3125	0.129839
126567	4.6741	4.6575	4.8315	0.277289
1213	4.8506	4.6574	NA	NA
6778	4.8379	4.6565	4.408	0.606566
64789	4.7418	4.6529	NA	NA
