readout	phenotype	arm	method	comparable	value_dk	value_hcp	se_dk	se_hcp	p_dk	p_hcp	n_dk	n_hcp
MAGMA MDD_pool	baseline_thickness	EUR	MAGMA	yes	0.0093389	0.040984	0.026462	0.026493	0.36208	0.060946	1881	1881
MAGMA MDD_pool	global_slope	EUR	MAGMA	yes	0.0085782	0.028475	0.02667	0.026454	0.37386	0.14088	1881	1881
MAGMA MDD_pool	slope_PC1	EUR	MAGMA	no (atlas-specific PC)	0.035152	0.040996	0.026203	0.026144	0.08989	0.058442	1881	1881
MAGMA MDD_pool	slope_PC2	EUR	MAGMA	no (atlas-specific PC)	0.026356	0.041297	0.026537	0.026189	0.16032	0.057421	1881	1881
MAGMA MDD_pool	slope_PC3	EUR	MAGMA	no (atlas-specific PC)	0.038646	-0.011875	0.026253	0.026214	0.070513	0.67472	1881	1881
MAGMA SCZ_locus_pool	MDD	EUR	MAGMA	no (atlas-specific PC)	0.73138	0.73138	0.069703	0.069703	5.7691e-26	5.7691e-26	460	460
MAGMA SCZ_locus_pool	SCZ	EUR	MAGMA	no (atlas-specific PC)	2.4149	2.4149	0.06709	0.06709	4.2675e-272	4.2675e-272	457	457
MAGMA SCZ_locus_pool	baseline_thickness	EUR	MAGMA	yes	0.17248	0.18861	0.05165	0.051711	0.00042095	0.00013297	455	455
MAGMA SCZ_locus_pool	global_slope	EUR	MAGMA	yes	0.14297	0.1699	0.052062	0.051636	0.0030187	0.0005016	455	455
MAGMA SCZ_locus_pool	slope_PC1	EUR	MAGMA	no (atlas-specific PC)	-0.021823	-0.01464	0.051168	0.051053	0.66512	0.61285	455	455
MAGMA SCZ_locus_pool	slope_PC2	EUR	MAGMA	no (atlas-specific PC)	0.039494	0.018286	0.051817	0.05114	0.22298	0.36034	455	455
MAGMA SCZ_locus_pool	slope_PC3	EUR	MAGMA	no (atlas-specific PC)	-0.054892	0.042606	0.051264	0.051186	0.85785	0.2026	455	455
PRS beta ALZ	baseline_thickness	EUR	CT	yes	0.024253	0.023558	0.015357	0.015355	0.9147	1	4308	4308
PRS beta ALZ	baseline_thickness	EUR	PRSCS	yes	0.0086538	0.0063474	0.015349	0.015346	0.57292	0.67918	4308	4308
PRS beta ALZ	baseline_thickness	EUR	SBayesR	yes	-0.0022772	-0.0066788	0.015381	0.015378	0.88231	0.66408	4308	4308
PRS beta ALZ	baseline_thickness	EUR	SBayesRC	yes	-0.0025621	-0.0052449	0.015405	0.015401	0.86791	0.73346	4308	4308
PRS beta ALZ	global_slope	EUR	CT	yes	-0.040142	-0.037116	0.014453	0.014561	0.044028	0.086735	4308	4308
PRS beta ALZ	global_slope	EUR	PRSCS	yes	-0.036333	-0.031162	0.014407	0.014524	0.011712	0.031969	4308	4308
PRS beta ALZ	global_slope	EUR	SBayesR	yes	-0.024714	-0.016411	0.014424	0.014544	0.086727	0.25923	4308	4308
PRS beta ALZ	global_slope	EUR	SBayesRC	yes	-0.026352	-0.018888	0.014424	0.014548	0.067788	0.19425	4308	4308
PRS beta ALZ_IGAP	baseline_thickness	EUR	CT	yes	0.031347	0.02946	0.016812	0.016811	0.49854	0.63808	4308	4308
PRS beta ALZ_IGAP	baseline_thickness	EUR	PRSCS	yes	0.010892	0.0054732	0.016065	0.016063	0.49782	0.73332	4308	4308
PRS beta ALZ_IGAP	baseline_thickness	EUR	SBayesR	yes	-0.0055287	-0.0099438	0.015411	0.015407	0.7198	0.51871	4308	4308
PRS beta ALZ_IGAP	baseline_thickness	EUR	SBayesRC	yes	-0.0085451	-0.012127	0.015431	0.015427	0.57976	0.43186	4308	4308
PRS beta ALZ_IGAP	global_slope	EUR	CT	yes	-0.039579	-0.03157	0.016221	0.016346	0.11786	0.42809	4308	4308
PRS beta ALZ_IGAP	global_slope	EUR	PRSCS	yes	-0.035786	-0.02555	0.015091	0.015213	0.017767	0.093145	4308	4308
PRS beta ALZ_IGAP	global_slope	EUR	SBayesR	yes	-0.023171	-0.013221	0.014454	0.014574	0.10899	0.36435	4308	4308
PRS beta ALZ_IGAP	global_slope	EUR	SBayesRC	yes	-0.022146	-0.013287	0.014457	0.014579	0.12562	0.36217	4308	4308
