cell	stratum	label	beta	se	t	p	n	beta_cond	se_cond	t_cond	p_cond	r_global	score	r_cortexmean_globalslope
SCZ25_EUR_SBayesRC_raw	EUR	rh_OP1	-0.00441865596287404	0.0153635416789953	-0.28760659847821	0.7736632755759	4308	0.00616644428305555	0.0148943501589626	0.414012307837743	0.678888292992565	0.264844165899141	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_OP2-3	-0.00579009745242724	0.0152704182713155	-0.379170848470049	0.704581872291086	4308	0.00587821320044275	0.0147628643809917	0.398175655397294	0.690522790717623	0.293690709260549	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_OP4	0.000539545130838151	0.0152753627264433	0.0353212647385545	0.971825359729337	4308	0.0181940907221369	0.0139923061012608	1.30029250292755	0.193577641699332	0.432370909531026	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_PBelt	-0.0403700569031233	0.0152586253227961	-2.64572044001968	0.00818475834733344	4308	-0.0236873899287895	0.0141137936794165	-1.67831487882207	0.0933673810458191	0.404273646515271	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_PCV	-0.0271148293481583	0.0152167004976132	-1.78191253435076	0.0748435655600261	4308	-0.00929094127567727	0.0139508585249007	-0.665976309565036	0.505467518254231	0.426344981800222	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_PEF	-0.0152878130624327	0.015404597686368	-0.992418846222865	0.321054409497054	4308	-0.00419690955269714	0.0149409358562834	-0.280900044887893	0.778801915952986	0.25508805297511	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_PF	-0.0111092463370784	0.0155844593868042	-0.712841303079456	0.475988525638453	4308	0.00575961558289763	0.0144817431134929	0.397715629793991	0.690862380713439	0.383652025877277	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_PFcm	-0.0111532835666585	0.015363477581914	-0.725960870980684	0.467907345034294	4308	0.00515463718297967	0.0143622993438927	0.358900553425074	0.719689870316223	0.367326043920969	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_PFm	-0.0118924439064889	0.0155867435686017	-0.762984510147797	0.445517038458255	4308	0.00740104423464533	0.0140751212432544	0.525824545788004	0.59903879257749	0.448238607653681	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_PFop	-0.00238385099654626	0.015488052888806	-0.153915473666105	0.877684789061729	4308	0.0104299520696702	0.014755737883917	0.706840427210243	0.479710582047167	0.319329572655834	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_PFt	-0.00986818222822824	0.0152513083119351	-0.647038406567766	0.517647199240392	4308	0.00433681732538258	0.0144479109687087	0.300169161809985	0.764062659995229	0.345327636748682	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_PGi	-0.0160529460553866	0.0151483621764968	-1.05971496247253	0.289341702306793	4308	0.00549631557793443	0.0132518639025868	0.414757925250161	0.6783424810435	0.522132501252849	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_PGp	-0.0158883630630862	0.0154826992292823	-1.0262011053626	0.304859982430175	4308	0.00240298272196247	0.0140603553467071	0.17090483581023	0.864307491223901	0.433343169314687	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_PGs	-0.0453447407335541	0.0153348788542375	-2.95696765292827	0.00312598270269964	4308	-0.0269123320228493	0.0139683436883835	-1.92666594001623	0.0540952513969096	0.433008425228689	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_PH	-0.0149106225189291	0.0150661619765487	-0.989676238854878	0.322394772777193	4308	0.00149077162599918	0.0139798904561458	0.10663686032989	0.915082679895891	0.422708516628441	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_PHA1	-0.0238454251085944	0.01539381654566	-1.54902619749078	0.121457939980299	4308	-0.0184473774280061	0.015314695932162	-1.20455394672677	0.228449367249078	0.155651329056728	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_PHA2	-0.00637208453970128	0.0154659498058426	-0.412007320578145	0.680356762744238	4308	0.00522519215590019	0.0149463958268331	0.349595462105952	0.726661325646439	0.277625983076353	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_PHA3	-0.0258729297505767	0.015393491858181	-1.68077067821531	0.0928891603058173	4308	-0.0144784821325924	0.0148843679037564	-0.972730735104874	0.330749123985882	0.284153901885406	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_PHT	-0.00437775862133256	0.0155178927550738	-0.282110379961298	0.777873522645067	4308	0.0115639592227643	0.0145086363211688	0.79703970564704	0.42547661287001	0.381187808947768	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_PI	-0.0381270556921678	0.015360560594561	-2.48213959753969	0.0131024694754488	4308	-0.0267456940225375	0.0149137069054133	-1.79336325919276	0.0729932427665348	0.28980004266337	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_PIT	-0.00285994038049963	0.0152109461619895	-0.188018572286207	0.850871860177499	4308	0.0115488831008467	0.0143912803386275	0.802491705331352	0.422317677781438	0.371317956590957	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_POS1	-0.00790871070138381	0.0152373870472469	-0.519033261861833	0.603767148335944	4308	0.00888180503586879	0.0141190410358889	0.629065742729434	0.529343323137035	0.411765617564952	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_POS2	-0.018614883098842	0.0153221155045209	-1.21490293512992	0.224476316883603	4308	0.00256663284824213	0.0135015972307262	0.190098460528887	0.84924184388037	0.498370909165285	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_PSL	-0.0120776220428687	0.0154835954693075	-0.780026968982082	0.435426439204196	4308	0.00335403578781523	0.0146133011370463	0.229519378021465	0.818478220708741	0.335368640814658	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_PeEc	-0.00730480748856618	0.015620726246128	-0.467635587069895	0.640070503146014	4308	0.00308289468004794	0.0151635720412859	0.203309264575268	0.838903670114463	0.240488267010449	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_Pir	0.0426115759277379	0.0156141423165105	2.72903724482389	0.00637920856250566	4308	0.046975598091807	0.0155548229835269	3.02000210105611	0.00254339204441308	0.101893231937402	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_PoI1	-0.00887336226162277	0.0155144521511336	-0.571941707975453	0.567394133532069	4308	-0.00132941094251076	0.0153143896424941	-0.0868079612407104	0.93082857850848	0.185518606792625	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_PoI2	-0.00455538205280993	0.0155252871767265	-0.293416926911263	0.769218942070911	4308	0.00333957218313406	0.0152794306848307	0.218566532485373	0.826999105396119	0.187697581542352	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_PreS	0.0270534220909052	0.0155970609688015	1.73452050646078	0.0829021927879077	4308	0.0287168791529624	0.0156028863691051	1.84048505344652	0.0657704976854396	0.0398584388206695	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_ProS	-0.0162032375305723	0.0154754830798572	-1.04702628324813	0.295151179247843	4308	-0.00685935865022673	0.0151360099239768	-0.45318143187531	0.650442985604451	0.236091360736402	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_RI	-0.0351752053209919	0.0152358156213701	-2.30871823308588	0.0210134858852157	4308	-0.0206015030567405	0.0144308170782419	-1.42760475342747	0.153488368901551	0.361640093836795	score_SCZ25EUR_sbrc.profile	0.999999948257751
