design	trait_arm	disorder	stratum	phenotype	n	n_thresholds	n_perm	min_p	max_abs_t	p_perm	p_bonferroni	matched
legacy	ALZ	ALZ	EUR	global_slope	4308	8	2000	0.014434449608707739	2.4368696228250504	0.06346826586706647	0.11547559686966191	yes
legacy	ALZ	ALZ	full	baseline_thickness	8596	8	2000	0.10305290278649497	1.7401155826298806	0.31084457771114443	0.8244232222919597	no
legacy	ALZ	ALZ	full	slope_PC1	8596	8	2000	0.1684056654496952	1.417113736133848	0.4497751124437781	1.0	no
legacy	ALZ	ALZ	full	slope_PC2	8596	8	2000	0.038647095109272694	2.154375325333472	0.13693153423288357	0.30917676087418156	no
legacy	ALZ	ALZ	full	slope_PC3	8596	8	2000	0.05653599060675013	1.962393649796759	0.1924037981009495	0.45228792485400104	no
legacy	ALZ	ALZ	full	global_slope	8596	8	2000	0.014420215863163171	2.448024846318003	0.05897051474262868	0.11536172690530537	no
legacy	ALZnoAPOE	ALZnoAPOE	EUR	baseline_thickness	4308	8	2000	0.010759923021644349	2.825123601547923	0.035982008995502246	0.08607938417315479	no
legacy	ALZnoAPOE	ALZnoAPOE	EUR	slope_PC1	4308	8	2000	0.18342600487381872	1.3743627766349853	0.5477261369315343	1.0	no
legacy	ALZnoAPOE	ALZnoAPOE	EUR	slope_PC2	4308	8	2000	0.1232240316818453	1.6223696602889102	0.39730134932533734	0.9857922534547624	no
legacy	ALZnoAPOE	ALZnoAPOE	EUR	slope_PC3	4308	8	2000	0.40896943773293265	0.898656408905548	0.8520739630184908	1.0	no
legacy	ALZnoAPOE	ALZnoAPOE	EUR	global_slope	4308	8	2000	0.03831927049098404	2.067271253747888	0.15992003998001	0.3065541639278723	no
legacy	ALZnoAPOE	ALZnoAPOE	full	baseline_thickness	8596	8	2000	0.0948546265113173	1.7825847725805128	0.33883058470764615	0.7588370120905384	no
legacy	ALZnoAPOE	ALZnoAPOE	full	slope_PC1	8596	8	2000	0.20386931689542476	1.3155005633656358	0.5807096451774113	1.0	no
legacy	ALZnoAPOE	ALZnoAPOE	full	slope_PC2	8596	8	2000	0.03528973054382548	2.1996182293626547	0.12493753123438281	0.28231784435060386	no
legacy	ALZnoAPOE	ALZnoAPOE	full	slope_PC3	8596	8	2000	0.07316113891290513	1.8609826226070296	0.28085957021489255	0.585289111303241	no
legacy	ALZnoAPOE	ALZnoAPOE	full	global_slope	8596	8	2000	0.03125378736869688	2.1595605915759717	0.14492753623188406	0.250030298949575	no
