GENE	C1	C2	C3	C1+	C2+	C3+	C1-	C2-	C3-
23452	0.487143	0.11392	-0.265964	0.487143	0.11392	0	0	0	0.265964
51129	-0.502777	0.105466	-0.269987	0	0.105466	0	0.502777	0	0.269987
55908	0.54278	0.118152	0.483104	0.54278	0.118152	0.483104	0	0	0
286	0.953907	0.149077	-0.0360068	0.953907	0.149077	0	0	0	0.0360068
288	-0.853882	-0.195103	0.0552266	0	0	0.0552266	0.853882	0.195103	0
348094	-0.584897	-0.38929	-0.24595	0	0	0	0.584897	0.38929	0.24595
56172	0.86554	0.0836561	0.0143802	0.86554	0.0836561	0.0143802	0	0	0
23141	-0.729887	0.181991	0.101074	0	0.181991	0.101074	0.729887	0	0
57763	-0.509012	-0.332959	-0.273997	0	0	0	0.509012	0.332959	0.273997
88455	0.579354	-0.210244	-0.424524	0.579354	0	0	0	0.210244	0.424524
54522	0.359317	-0.501047	0.0499512	0.359317	0	0.0499512	0	0.501047	0
253650	0.0241172	-0.0647624	-0.67073	0.0241172	0	0	0	0.0647624	0.67073
441459	-0.0936889	-0.541476	-0.271382	0	0	0	0.0936889	0.541476	0.271382
26287	0.568041	0.401895	0.265358	0.568041	0.401895	0.265358	0	0	0
170961	0.59539	0.0261993	0.524849	0.59539	0.0261993	0.524849	0	0	0
22852	0.497368	-0.528833	0.170617	0.497368	0	0.170617	0	0.528833	0
84079	0.211159	0.681353	0.146572	0.211159	0.681353	0.146572	0	0	0
23243	-0.140291	0.30203	0.429125	0	0.30203	0.429125	0.140291	0	0
147463	0.86019	0.270431	-0.123824	0.86019	0.270431	0	0	0	0.123824
374860	-0.596708	0.161101	0.510045	0	0.161101	0.510045	0.596708	0	0
554226	-0.51889	0.0442563	0.233928	0	0.0442563	0.233928	0.51889	0	0
651746	0.566475	-0.324559	0.445732	0.566475	0	0.445732	0	0.324559	0
390616	0.743273	0.327247	0.192013	0.743273	0.327247	0.192013	0	0	0
353322	0.710522	0.105076	-0.0685296	0.710522	0.105076	0	0	0	0.0685296
338699	0.589881	0.281566	-0.129738	0.589881	0.281566	0	0	0	0.129738
339416	-0.155042	-0.620279	-0.26227	0	0	0	0.155042	0.620279	0.26227
54851	0.164101	-0.648184	0.128306	0.164101	0	0.128306	0	0.648184	0
57182	-0.798823	0.0528176	0.113883	0	0.0528176	0.113883	0.798823	0	0
129138	-0.626417	-0.181423	-0.255787	0	0	0	0.626417	0.181423	0.255787
79722	-0.504321	0.0743425	0.316203	0	0.0743425	0.316203	0.504321	0	0
22881	-0.946027	-0.0924917	0.0365135	0	0	0.0365135	0.946027	0.0924917	0
342850	0.77958	-0.0603285	-0.219912	0.77958	0	0	0	0.0603285	0.219912
441869	0.587001	-0.288154	0.132235	0.587001	0	0.132235	0	0.288154	0
122416	0.727764	0.132716	-0.175437	0.727764	0.132716	0	0	0	0.175437
23294	0.698409	-0.0391715	-0.093715	0.698409	0	0	0	0.0391715	0.093715
56899	0.216153	-0.738005	0.182035	0.216153	0	0.182035	0	0.738005	0
124401	0.624555	-0.319234	0.0371258	0.624555	0	0.0371258	0	0.319234	0
203286	0.867907	-0.0461699	-0.0971196	0.867907	0	0	0	0.0461699	0.0971196
55139	0.509055	-0.329795	0.0507049	0.509055	0	0.0507049	0	0.329795	0
54443	0.141166	0.166344	-0.465432	0.141166	0.166344	0	0	0	0.465432
55129	-0.53401	-0.027541	-0.0244811	0	0	0	0.53401	0.027541	0.0244811
57101	-0.608895	-0.0175708	-0.110805	0	0	0	0.608895	0.0175708	0.110805
63982	-0.795946	0.298685	0.221192	0	0.298685	0.221192	0.795946	0	0
